UTC time,solar,hydro,nat_gas,other,wind
2025-04-19 00:00:00,19.0,633.0,0.0,75.0,35.0
2025-04-19 01:00:00,18.0,638.0,147.0,79.0,29.0
2025-04-19 02:00:00,8.0,938.0,154.0,78.0,24.0
2025-04-19 03:00:00,0.0,978.0,156.0,80.0,45.0
2025-04-19 04:00:00,0.0,966.0,159.0,78.0,77.0
2025-04-19 05:00:00,0.0,1025.0,163.0,79.0,78.0
2025-04-19 06:00:00,0.0,1019.0,161.0,77.0,84.0
2025-04-19 07:00:00,0.0,967.0,166.0,77.0,117.0
2025-04-19 08:00:00,0.0,966.0,164.0,80.0,139.0
2025-04-19 09:00:00,0.0,942.0,167.0,77.0,163.0
2025-04-19 10:00:00,0.0,935.0,167.0,81.0,174.0
2025-04-19 11:00:00,0.0,873.0,166.0,78.0,195.0
2025-04-19 12:00:00,0.0,915.0,166.0,80.0,172.0
2025-04-19 13:00:00,0.0,886.0,162.0,77.0,135.0
2025-04-19 14:00:00,1.0,674.0,149.0,80.0,119.0
2025-04-19 15:00:00,1.0,574.0,87.0,81.0,86.0
2025-04-19 16:00:00,1.0,461.0,73.0,75.0,38.0
2025-04-19 17:00:00,2.0,445.0,72.0,76.0,17.0
2025-04-19 18:00:00,9.0,391.0,59.0,75.0,12.0
2025-04-19 19:00:00,15.0,394.0,0.0,75.0,39.0
2025-04-19 20:00:00,17.0,386.0,0.0,73.0,120.0
2025-04-19 21:00:00,16.0,389.0,0.0,75.0,152.0
2025-04-19 22:00:00,15.0,391.0,0.0,74.0,146.0
2025-04-19 23:00:00,18.0,387.0,0.0,72.0,130.0
2025-04-20 00:00:00,19.0,398.0,13.0,74.0,96.0
2025-04-20 01:00:00,18.5,518.0,80.0,76.5,62.5
2025-04-20 02:00:00,13.25,728.0,117.0,77.25,43.25
2025-04-20 03:00:00,6.625,853.0,136.5,78.625,44.125
2025-04-20 04:00:00,3.3125,909.5,147.75,78.3125,60.5625
2025-04-20 05:00:00,1.65625,967.25,155.375,78.65625,69.28125
2025-04-20 06:00:00,0.828125,993.125,158.1875,77.828125,76.640625
2025-04-20 07:00:00,0.4140625,980.0625,162.09375,77.4140625,96.8203125
2025-04-20 08:00:00,0.20703125,973.03125,163.046875,78.70703125,117.91015625
2025-04-20 09:00:00,0.103515625,957.515625,165.0234375,77.853515625,140.455078125
2025-04-20 10:00:00,0.0517578125,946.2578125,166.01171875,79.4267578125,157.2275390625
2025-04-20 11:00:00,0.02587890625,909.62890625,166.005859375,78.71337890625,176.11376953125
2025-04-20 12:00:00,0.012939453125,912.314453125,166.0029296875,79.356689453125,174.056884765625
2025-04-20 13:00:00,0.0064697265625,899.1572265625,164.00146484375,78.1783447265625,154.5284423828125
2025-04-20 14:00:00,0.50323486328125,786.57861328125,156.500732421875,79.08917236328125,136.76422119140625
2025-04-20 15:00:00,0.751617431640625,680.289306640625,121.7503662109375,80.04458618164062,111.38211059570312
2025-04-20 16:00:00,0.8758087158203125,570.6446533203125,97.37518310546875,77.52229309082031,74.69105529785156
2025-04-20 17:00:00,1.4379043579101562,507.82232666015625,84.68759155273438,76.76114654541016,45.84552764892578
2025-04-20 18:00:00,5.218952178955078,449.4111633300781,71.84379577636719,75.88057327270508,28.92276382446289
2025-04-20 19:00:00,10.109476089477539,421.70558166503906,35.921897888183594,75.44028663635254,33.961381912231445
2025-04-20 20:00:00,13.55473804473877,403.85279083251953,17.960948944091797,74.22014331817627,76.98069095611572
2025-04-20 21:00:00,14.777369022369385,396.42639541625977,8.980474472045898,74.61007165908813,114.49034547805786
2025-04-20 22:00:00,14.888684511184692,393.7131977081299,4.490237236022949,74.30503582954407,130.24517273902893
2025-04-20 23:00:00,16.444342255592346,390.35659885406494,2.2451186180114746,73.15251791477203,130.12258636951447
