UTC time,oil,battery,solar,other,wind,coal,unk_src,nat_gas,nuclear,hydro
2025-04-19 00:00,0,1,864,31,178,217,-530,591,0,0
2025-04-19 01:00,0,22,885,33,302,218,-35,846,0,0
2025-04-19 02:00,0,425,190,31,312,217,-5,911,0,0
2025-04-19 03:00,0,1299,126,32,277,216,0,884,0,0
2025-04-19 04:00,0,1416,123,31,158,215,-2,891,0,0
2025-04-19 05:00,0,1389,68,31,194,216,-3,832,0,0
2025-04-19 06:00,0,501,0,12,222,216,-4,828,0,0
2025-04-19 07:00,0,12,0,3,238,217,-2,894,0,0
2025-04-19 08:00,0,0,0,3,238,215,0,849,0,0
2025-04-19 09:00,0,0,0,3,235,216,-6,883,0,0
2025-04-19 10:00,0,0,0,3,227,215,-2,917,0,0
2025-04-19 11:00,0,0,0,2,225,215,-1,893,0,0
2025-04-19 12:00,0,0,0,3,175,212,-2,892,0,0
2025-04-19 13:00,0,14,0,3,201,213,-2,894,0,0
2025-04-19 14:00,0,248,244,3,216,214,-11,711,0,0
2025-04-19 15:00,0,224,1029,3,231,212,-26,523,0,0
2025-04-19 16:00,0,6,1387,3,219,213,-308,450,0,0
2025-04-19 17:00,0,0,1496,3,213,213,-654,420,0,0
2025-04-19 18:00,0,0,1356,3,203,213,-755,459,0,0
2025-04-19 19:00,0,0,1351,14,192,213,-776,434,0,0
2025-04-19 20:00,0,30,1351,25,160,214,-990,419,0,0
2025-04-19 21:00,0,40,1320,31,227,158,-791,418,0,0
2025-04-19 22:00,0,41,1310,31,149,46,-767,499,0,0
2025-04-19 23:00,0,2,1318,32,41,-24,-772,472,0,0
2025-04-20 00:00,0,1,1311,31,36,-29,-668,470,0,0
2025-04-20 01:00,,,,,,,,,,
2025-04-20 02:00,,,,,,,,,,
2025-04-20 03:00,,,,,,,,,,
2025-04-20 04:00,,,,,,,,,,
2025-04-20 05:00,,,,,,,,,,
2025-04-20 06:00,,,,,,,,,,
2025-04-20 07:00,,,,,,,,,,
2025-04-20 08:00,,,,,,,,,,
2025-04-20 09:00,,,,,,,,,,
2025-04-20 10:00,,,,,,,,,,
2025-04-20 11:00,,,,,,,,,,
2025-04-20 12:00,,,,,,,,,,
2025-04-20 13:00,,,,,,,,,,
2025-04-20 14:00,,,,,,,,,,
2025-04-20 15:00,,,,,,,,,,
2025-04-20 16:00,,,,,,,,,,
2025-04-20 17:00,,,,,,,,,,
2025-04-20 18:00,,,,,,,,,,
2025-04-20 19:00,,,,,,,,,,
2025-04-20 20:00,,,,,,,,,,
2025-04-20 21:00,,,,,,,,,,
2025-04-20 22:00,,,,,,,,,,
2025-04-20 23:00,,,,,,,,,,
