UTC time,nat_gas,nuclear,hydro,other,solar,wind,sol-w/int-bat
2025-04-19 00:00,580,0,6369,169,161,40,50
2025-04-19 01:00,642,0,6635,172,150,57,49
2025-04-19 02:00,647,0,8258,169,84,100,41
2025-04-19 03:00,653,0,8693,168,7,118,32
2025-04-19 04:00,656,0,8865,170,-2,117,29
2025-04-19 05:00,657,0,8367,173,0,225,11
2025-04-19 06:00,650,0,8583,159,0,395,-1
2025-04-19 07:00,547,0,7488,162,0,630,5
2025-04-19 08:00,38,0,7627,162,-1,820,0
2025-04-19 09:00,13,0,7250,163,0,947,0
2025-04-19 10:00,13,0,7239,160,-1,995,0
2025-04-19 11:00,13,0,7366,157,0,1104,2
2025-04-19 12:00,14,0,7226,160,-2,1373,1
2025-04-19 13:00,13,0,7301,163,-1,1425,-1
2025-04-19 14:00,13,0,7032,168,5,1626,1
2025-04-19 15:00,13,0,6127,169,31,1952,5
2025-04-19 16:00,13,0,6209,162,68,1500,5
2025-04-19 17:00,13,0,6174,162,92,1301,6
2025-04-19 18:00,13,0,5835,154,109,1722,15
2025-04-19 19:00,13,0,5543,156,138,1930,18
2025-04-19 20:00,14,0,5474,157,147,2000,14
2025-04-19 21:00,13,0,5196,153,156,2228,10
2025-04-19 22:00,13,0,5196,150,147,2234,5
2025-04-19 23:00,13,0,5379,151,145,2206,6
2025-04-20 00:00,13,0,5540,143,150,2127,6
2025-04-20 01:00,,,,,,,
2025-04-20 02:00,,,,,,,
2025-04-20 03:00,,,,,,,
2025-04-20 04:00,,,,,,,
2025-04-20 05:00,,,,,,,
2025-04-20 06:00,,,,,,,
2025-04-20 07:00,,,,,,,
2025-04-20 08:00,,,,,,,
2025-04-20 09:00,,,,,,,
2025-04-20 10:00,,,,,,,
2025-04-20 11:00,,,,,,,
2025-04-20 12:00,,,,,,,
2025-04-20 13:00,,,,,,,
2025-04-20 14:00,,,,,,,
2025-04-20 15:00,,,,,,,
2025-04-20 16:00,,,,,,,
2025-04-20 17:00,,,,,,,
2025-04-20 18:00,,,,,,,
2025-04-20 19:00,,,,,,,
2025-04-20 20:00,,,,,,,
2025-04-20 21:00,,,,,,,
2025-04-20 22:00,,,,,,,
2025-04-20 23:00,,,,,,,
