UTC time,nat_gas,nuclear,hydro,other,solar,wind,sol-w/int-bat
2025-04-19 00:00:00,580.0,0.0,6369.0,169.0,161.0,40.0,50.0
2025-04-19 01:00:00,642.0,0.0,6635.0,172.0,150.0,57.0,49.0
2025-04-19 02:00:00,647.0,0.0,8258.0,169.0,84.0,100.0,41.0
2025-04-19 03:00:00,653.0,0.0,8693.0,168.0,7.0,118.0,32.0
2025-04-19 04:00:00,656.0,0.0,8865.0,170.0,0.0,117.0,29.0
2025-04-19 05:00:00,657.0,0.0,8367.0,173.0,0.0,225.0,11.0
2025-04-19 06:00:00,650.0,0.0,8583.0,159.0,0.0,395.0,0.0
2025-04-19 07:00:00,547.0,0.0,7488.0,162.0,0.0,630.0,5.0
2025-04-19 08:00:00,38.0,0.0,7627.0,162.0,0.0,820.0,0.0
2025-04-19 09:00:00,13.0,0.0,7250.0,163.0,0.0,947.0,0.0
2025-04-19 10:00:00,13.0,0.0,7239.0,160.0,0.0,995.0,0.0
2025-04-19 11:00:00,13.0,0.0,7366.0,157.0,0.0,1104.0,2.0
2025-04-19 12:00:00,14.0,0.0,7226.0,160.0,0.0,1373.0,1.0
2025-04-19 13:00:00,13.0,0.0,7301.0,163.0,0.0,1425.0,0.0
2025-04-19 14:00:00,13.0,0.0,7032.0,168.0,5.0,1626.0,1.0
2025-04-19 15:00:00,13.0,0.0,6127.0,169.0,31.0,1952.0,5.0
2025-04-19 16:00:00,13.0,0.0,6209.0,162.0,68.0,1500.0,5.0
2025-04-19 17:00:00,13.0,0.0,6174.0,162.0,92.0,1301.0,6.0
2025-04-19 18:00:00,13.0,0.0,5835.0,154.0,109.0,1722.0,15.0
2025-04-19 19:00:00,13.0,0.0,5543.0,156.0,138.0,1930.0,18.0
2025-04-19 20:00:00,14.0,0.0,5474.0,157.0,147.0,2000.0,14.0
2025-04-19 21:00:00,13.0,0.0,5196.0,153.0,156.0,2228.0,10.0
2025-04-19 22:00:00,13.0,0.0,5196.0,150.0,147.0,2234.0,5.0
2025-04-19 23:00:00,13.0,0.0,5379.0,151.0,145.0,2206.0,6.0
2025-04-20 00:00:00,13.0,0.0,5540.0,143.0,150.0,2127.0,6.0
2025-04-20 01:00:00,327.5,0.0,6087.5,157.5,150.0,1092.0,27.5
2025-04-20 02:00:00,487.25,0.0,7172.75,163.25,117.0,596.0,34.25
2025-04-20 03:00:00,570.125,0.0,7932.875,165.625,62.0,357.0,33.125
2025-04-20 04:00:00,613.0625,0.0,8398.9375,167.8125,31.0,237.0,31.0625
2025-04-20 05:00:00,635.03125,0.0,8382.96875,170.40625,15.5,231.0,21.03125
2025-04-20 06:00:00,642.515625,0.0,8482.984375,164.703125,7.75,313.0,10.515625
2025-04-20 07:00:00,594.7578125,0.0,7985.4921875,163.3515625,3.875,471.5,7.7578125
2025-04-20 08:00:00,316.37890625,0.0,7806.24609375,162.67578125,1.9375,645.75,3.87890625
2025-04-20 09:00:00,164.689453125,0.0,7528.123046875,162.837890625,0.96875,796.375,1.939453125
2025-04-20 10:00:00,88.8447265625,0.0,7383.5615234375,161.4189453125,0.484375,895.6875,0.9697265625
2025-04-20 11:00:00,50.92236328125,0.0,7374.78076171875,159.20947265625,0.2421875,999.84375,1.48486328125
2025-04-20 12:00:00,32.461181640625,0.0,7300.390380859375,159.604736328125,0.12109375,1186.421875,1.242431640625
2025-04-20 13:00:00,22.7305908203125,0.0,7300.6951904296875,161.3023681640625,0.060546875,1305.7109375,0.6212158203125
2025-04-20 14:00:00,17.86529541015625,0.0,7166.347595214844,164.65118408203125,2.5302734375,1465.85546875,0.81060791015625
2025-04-20 15:00:00,15.432647705078125,0.0,6646.673797607422,166.82559204101562,16.76513671875,1708.927734375,2.905303955078125
2025-04-20 16:00:00,14.216323852539062,0.0,6427.836898803711,164.4127960205078,42.382568359375,1604.4638671875,3.9526519775390625
2025-04-20 17:00:00,13.608161926269531,0.0,6300.9184494018555,163.2063980102539,67.1912841796875,1452.73193359375,4.976325988769531
2025-04-20 18:00:00,13.304080963134766,0.0,6067.959224700928,158.60319900512695,88.09564208984375,1587.365966796875,9.988162994384766
2025-04-20 19:00:00,13.152040481567383,0.0,5805.479612350464,157.30159950256348,113.04782104492188,1758.6829833984375,13.994081497192383
2025-04-20 20:00:00,13.576020240783691,0.0,5639.739806175232,157.15079975128174,130.02391052246094,1879.3414916992188,13.997040748596191
2025-04-20 21:00:00,13.288010120391846,0.0,5417.869903087616,155.07539987564087,143.01195526123047,2053.6707458496094,11.998520374298096
2025-04-20 22:00:00,13.144005060195923,0.0,5306.934951543808,152.53769993782043,145.00597763061523,2143.8353729248047,8.499260187149048
2025-04-20 23:00:00,13.072002530097961,0.0,5342.967475771904,151.76884996891022,145.00298881530762,2174.9176864624023,7.249630093574524
