datetime,creation_time (UTC),version,avg_wind_production_forecast
2025-05-06T00:00:00.000000000,2025-05-08 22:24:46,3.0,2891.62013
2025-05-06T01:00:00.000000000,2025-05-08 22:24:46,3.0,2502.57341
2025-05-06T02:00:00.000000000,2025-05-08 22:24:46,3.0,2591.31455
2025-05-06T03:00:00.000000000,2025-05-08 22:24:46,3.0,2617.19046
2025-05-06T04:00:00.000000000,2025-05-08 22:24:46,3.0,2694.53917
2025-05-06T05:00:00.000000000,2025-05-08 22:24:46,3.0,2760.0361
2025-05-06T06:00:00.000000000,2025-05-08 22:24:46,3.0,2724.98671
2025-05-06T07:00:00.000000000,2025-05-08 22:24:46,3.0,2737.7813
2025-05-06T08:00:00.000000000,2025-05-08 22:24:46,3.0,2666.85511
2025-05-06T09:00:00.000000000,2025-05-08 22:24:46,3.0,2605.86006
2025-05-06T10:00:00.000000000,2025-05-08 22:24:46,3.0,2498.88479
2025-05-06T11:00:00.000000000,2025-05-08 22:24:46,3.0,2445.95181
2025-05-06T12:00:00.000000000,2025-05-08 22:24:46,3.0,2338.48376
2025-05-06T13:00:00.000000000,2025-05-08 22:24:46,3.0,2247.08473
2025-05-06T14:00:00.000000000,2025-05-08 22:24:46,3.0,2141.03088
2025-05-06T15:00:00.000000000,2025-05-08 22:24:46,3.0,2116.50409
2025-05-06T16:00:00.000000000,2025-05-08 22:24:46,3.0,2146.13451
2025-05-06T17:00:00.000000000,2025-05-08 22:24:46,3.0,2047.6993
2025-05-06T18:00:00.000000000,2025-05-08 22:24:46,3.0,2011.44224
2025-05-06T19:00:00.000000000,2025-05-08 22:24:46,3.0,2004.39899
2025-05-06T20:00:00.000000000,2025-05-08 22:24:46,3.0,1976.50278
2025-05-06T21:00:00.000000000,2025-05-08 22:24:46,3.0,2027.25281
2025-05-06T22:00:00.000000000,2025-05-08 22:24:46,3.0,2143.01952
2025-05-06T23:00:00.000000000,2025-05-08 22:24:46,3.0,2180.64901
2025-05-07T00:00:00.000000000,2025-05-08 22:24:46,3.0,2891.62013
2025-05-07T01:00:00.000000000,2025-05-08 22:24:46,3.0,2958.66001
2025-05-07T02:00:00.000000000,2025-05-08 22:24:46,3.0,2591.31455
2025-05-07T03:00:00.000000000,2025-05-08 22:24:46,3.0,2617.19046
2025-05-07T04:00:00.000000000,2025-05-08 22:24:46,3.0,2694.53917
2025-05-07T05:00:00.000000000,2025-05-08 22:24:46,3.0,2760.0361
2025-05-07T06:00:00.000000000,2025-05-08 22:24:46,3.0,2724.98671
2025-05-07T07:00:00.000000000,2025-05-08 22:24:46,3.0,2737.7813
2025-05-07T08:00:00.000000000,2025-05-08 22:24:46,3.0,2666.85511
2025-05-07T09:00:00.000000000,2025-05-08 22:24:46,3.0,2605.86006
2025-05-07T10:00:00.000000000,2025-05-08 22:24:46,3.0,2498.88479
2025-05-07T11:00:00.000000000,2025-05-08 22:24:46,3.0,2445.95181
2025-05-07T12:00:00.000000000,2025-05-08 22:24:46,3.0,2338.48376
2025-05-07T13:00:00.000000000,2025-05-08 22:24:46,3.0,2247.08473
2025-05-07T14:00:00.000000000,2025-05-08 22:24:46,3.0,2141.03088
2025-05-07T15:00:00.000000000,2025-05-08 22:24:46,3.0,2116.50409
2025-05-07T16:00:00.000000000,2025-05-08 22:24:46,3.0,2146.13451
2025-05-07T17:00:00.000000000,2025-05-08 22:24:46,3.0,2047.6993
2025-05-07T18:00:00.000000000,2025-05-08 22:24:46,3.0,2011.44224
