UTC time,hydro,nuclear,nat_gas,battery,coal,other,sol-w/int-bat,oil,solar
2025-04-19 00:00,43,3658,1728,0,1190,356,0,0,86
2025-04-19 01:00,47,3663,1755,0,1188,372,0,0,0
2025-04-19 02:00,23,3666,1730,0,1168,372,0,0,-2
2025-04-19 03:00,17,3668,1558,0,917,371,0,0,-3
2025-04-19 04:00,16,3670,993,0,554,369,-1,0,-2
2025-04-19 05:00,10,3671,962,0,378,370,0,0,0
2025-04-19 06:00,11,3672,963,0,375,369,0,0,-3
2025-04-19 07:00,11,3674,963,0,374,368,-1,0,-1
2025-04-19 08:00,9,3673,876,0,376,368,0,0,-2
2025-04-19 09:00,11,3674,925,0,373,367,-1,0,-1
2025-04-19 10:00,10,3675,949,0,378,367,0,0,-3
2025-04-19 11:00,11,3674,937,0,371,375,-1,0,2
2025-04-19 12:00,11,3675,949,0,376,362,4,0,319
2025-04-19 13:00,10,3674,921,0,374,358,19,0,1131
2025-04-19 14:00,11,3670,949,0,375,359,37,0,1848
2025-04-19 15:00,11,3667,929,0,372,356,52,0,2312
2025-04-19 16:00,10,3669,964,0,376,354,62,0,2454
2025-04-19 17:00,11,3664,948,0,373,357,63,0,2492
2025-04-19 18:00,9,3661,1282,0,376,354,59,0,2537
2025-04-19 19:00,11,3657,1473,0,372,350,60,0,2502
2025-04-19 20:00,11,3655,1622,0,509,352,49,0,2331
2025-04-19 21:00,10,3653,1673,0,856,352,43,0,1918
2025-04-19 22:00,13,3652,1784,0,1154,354,25,0,1292
2025-04-19 23:00,42,3654,1871,0,1157,352,7,0,542
2025-04-20 00:00,40,3654,1860,0,1156,353,1,0,88
2025-04-20 01:00,,,,,,,,,
2025-04-20 02:00,,,,,,,,,
2025-04-20 03:00,,,,,,,,,
2025-04-20 04:00,,,,,,,,,
2025-04-20 05:00,,,,,,,,,
2025-04-20 06:00,,,,,,,,,
2025-04-20 07:00,,,,,,,,,
2025-04-20 08:00,,,,,,,,,
2025-04-20 09:00,,,,,,,,,
2025-04-20 10:00,,,,,,,,,
2025-04-20 11:00,,,,,,,,,
2025-04-20 12:00,,,,,,,,,
2025-04-20 13:00,,,,,,,,,
2025-04-20 14:00,,,,,,,,,
2025-04-20 15:00,,,,,,,,,
2025-04-20 16:00,,,,,,,,,
2025-04-20 17:00,,,,,,,,,
2025-04-20 18:00,,,,,,,,,
2025-04-20 19:00,,,,,,,,,
2025-04-20 20:00,,,,,,,,,
2025-04-20 21:00,,,,,,,,,
2025-04-20 22:00,,,,,,,,,
2025-04-20 23:00,,,,,,,,,
