UTC time,coal,solar,hydro,nat_gas,other
2025-04-19 00:00:00,0.0,0.0,70.0,162.0,84.0
2025-04-19 01:00:00,0.0,0.0,18.0,161.0,86.0
2025-04-19 02:00:00,0.0,0.0,9.0,162.0,85.0
2025-04-19 03:00:00,0.0,0.0,8.0,161.0,85.0
2025-04-19 04:00:00,0.0,0.0,8.0,162.0,84.0
2025-04-19 05:00:00,0.0,0.0,8.0,158.0,85.0
2025-04-19 06:00:00,0.0,0.0,9.0,158.0,84.0
2025-04-19 07:00:00,0.0,0.0,7.0,163.0,85.0
2025-04-19 08:00:00,0.0,0.0,9.0,162.0,84.0
2025-04-19 09:00:00,0.0,0.0,8.0,163.0,84.0
2025-04-19 10:00:00,0.0,0.0,8.0,163.0,84.0
2025-04-19 11:00:00,0.0,0.0,7.0,167.0,85.0
2025-04-19 12:00:00,0.0,0.0,9.0,168.0,84.0
2025-04-19 13:00:00,0.0,0.0,8.0,170.0,84.0
2025-04-19 14:00:00,0.0,0.0,8.0,169.0,85.0
2025-04-19 15:00:00,0.0,0.0,8.0,166.0,85.0
2025-04-19 16:00:00,0.0,0.0,9.0,164.0,84.0
2025-04-19 17:00:00,0.0,0.0,9.0,162.0,84.0
2025-04-19 18:00:00,0.0,0.0,8.0,159.0,84.0
2025-04-19 19:00:00,0.0,0.0,10.0,157.0,84.0
2025-04-19 20:00:00,0.0,0.0,8.0,156.0,83.0
2025-04-19 21:00:00,0.0,0.0,16.0,156.0,84.0
2025-04-19 22:00:00,0.0,0.0,70.0,158.0,84.0
2025-04-19 23:00:00,0.0,0.0,71.0,159.0,85.0
2025-04-20 00:00:00,0.0,0.0,71.0,160.0,83.0
2025-04-20 01:00:00,0.0,0.0,44.5,160.5,84.5
2025-04-20 02:00:00,0.0,0.0,26.75,161.25,84.75
2025-04-20 03:00:00,0.0,0.0,17.375,161.125,84.875
2025-04-20 04:00:00,0.0,0.0,12.6875,161.5625,84.4375
2025-04-20 05:00:00,0.0,0.0,10.34375,159.78125,84.71875
2025-04-20 06:00:00,0.0,0.0,9.671875,158.890625,84.359375
2025-04-20 07:00:00,0.0,0.0,8.3359375,160.9453125,84.6796875
2025-04-20 08:00:00,0.0,0.0,8.66796875,161.47265625,84.33984375
2025-04-20 09:00:00,0.0,0.0,8.333984375,162.236328125,84.169921875
2025-04-20 10:00:00,0.0,0.0,8.1669921875,162.6181640625,84.0849609375
2025-04-20 11:00:00,0.0,0.0,7.58349609375,164.80908203125,84.54248046875
2025-04-20 12:00:00,0.0,0.0,8.291748046875,166.404541015625,84.271240234375
2025-04-20 13:00:00,0.0,0.0,8.1458740234375,168.2022705078125,84.1356201171875
2025-04-20 14:00:00,0.0,0.0,8.07293701171875,168.60113525390625,84.56781005859375
2025-04-20 15:00:00,0.0,0.0,8.036468505859375,167.30056762695312,84.78390502929688
2025-04-20 16:00:00,0.0,0.0,8.518234252929688,165.65028381347656,84.39195251464844
2025-04-20 17:00:00,0.0,0.0,8.759117126464844,163.82514190673828,84.19597625732422
2025-04-20 18:00:00,0.0,0.0,8.379558563232422,161.41257095336914,84.09798812866211
2025-04-20 19:00:00,0.0,0.0,9.189779281616211,159.20628547668457,84.04899406433105
2025-04-20 20:00:00,0.0,0.0,8.594889640808105,157.60314273834229,83.52449703216553
2025-04-20 21:00:00,0.0,0.0,12.297444820404053,156.80157136917114,83.76224851608276
2025-04-20 22:00:00,0.0,0.0,41.148722410202026,157.40078568458557,83.88112425804138
2025-04-20 23:00:00,0.0,0.0,56.07436120510101,158.20039284229279,84.44056212902069
