UTC time,creation_time (UTC),version,nat_gas
2025-04-19 00:00:00,2025-04-24 19:42:06,3.0,30.0
2025-04-19 01:00:00,2025-04-24 19:42:06,3.0,190.0
2025-04-19 02:00:00,2025-04-24 19:42:06,3.0,471.0
2025-04-19 03:00:00,2025-04-24 19:42:06,3.0,560.0
2025-04-19 04:00:00,2025-04-24 19:42:06,3.0,563.0
2025-04-19 05:00:00,2025-04-24 19:42:06,3.0,562.0
2025-04-19 06:00:00,2025-04-24 19:42:06,3.0,562.0
2025-04-19 07:00:00,2025-04-24 19:42:06,3.0,563.0
2025-04-19 08:00:00,2025-04-24 19:42:06,3.0,560.0
2025-04-19 09:00:00,2025-04-24 19:42:06,3.0,558.0
2025-04-19 10:00:00,2025-04-24 19:42:06,3.0,541.0
2025-04-19 11:00:00,2025-04-24 19:42:06,3.0,539.0
2025-04-19 12:00:00,2025-04-24 19:42:06,3.0,541.0
2025-04-19 13:00:00,2025-04-24 19:42:06,3.0,566.0
2025-04-19 14:00:00,2025-04-24 19:42:06,3.0,563.0
2025-04-19 15:00:00,2025-04-24 19:42:06,3.0,430.0
2025-04-19 16:00:00,2025-04-24 19:42:06,3.0,0.0
2025-04-19 17:00:00,2025-04-24 19:42:06,3.0,0.0
2025-04-19 18:00:00,2025-04-24 19:42:06,3.0,0.0
2025-04-19 19:00:00,2025-04-24 19:42:06,3.0,0.0
2025-04-19 20:00:00,2025-04-24 19:42:06,3.0,0.0
2025-04-19 21:00:00,2025-04-24 19:42:06,3.0,0.0
2025-04-19 22:00:00,2025-04-24 19:42:06,3.0,0.0
2025-04-19 23:00:00,2025-04-24 19:42:06,3.0,0.0
2025-04-20 00:00:00,2025-04-24 19:42:06,3.0,34.0
2025-04-20 01:00:00,2025-04-24 19:42:06,3.0,112.0
2025-04-20 02:00:00,2025-04-24 19:42:06,3.0,291.5
2025-04-20 03:00:00,2025-04-24 19:42:06,3.0,425.75
2025-04-20 04:00:00,2025-04-24 19:42:06,3.0,494.375
2025-04-20 05:00:00,2025-04-24 19:42:06,3.0,528.1875
2025-04-20 06:00:00,2025-04-24 19:42:06,3.0,545.09375
2025-04-20 07:00:00,2025-04-24 19:42:06,3.0,554.046875
2025-04-20 08:00:00,2025-04-24 19:42:06,3.0,557.0234375
2025-04-20 09:00:00,2025-04-24 19:42:06,3.0,557.51171875
2025-04-20 10:00:00,2025-04-24 19:42:06,3.0,549.255859375
2025-04-20 11:00:00,2025-04-24 19:42:06,3.0,544.1279296875
2025-04-20 12:00:00,2025-04-24 19:42:06,3.0,542.56396484375
2025-04-20 13:00:00,2025-04-24 19:42:06,3.0,554.281982421875
2025-04-20 14:00:00,2025-04-24 19:42:06,3.0,558.6409912109375
2025-04-20 15:00:00,2025-04-24 19:42:06,3.0,494.3204956054688
2025-04-20 16:00:00,2025-04-24 19:42:06,3.0,247.1602478027344
2025-04-20 17:00:00,2025-04-24 19:42:06,3.0,123.5801239013672
2025-04-20 18:00:00,2025-04-24 19:42:06,3.0,61.7900619506836
2025-04-20 19:00:00,2025-04-24 19:42:06,3.0,30.8950309753418
2025-04-20 20:00:00,2025-04-24 19:42:06,3.0,15.447515487670898
2025-04-20 21:00:00,2025-04-24 19:42:06,3.0,7.723757743835449
2025-04-20 22:00:00,2025-04-24 19:42:06,3.0,3.8618788719177246
2025-04-20 23:00:00,2025-04-24 19:42:06,3.0,1.9309394359588623
