UTC time,creation_time (UTC),version,hydro
2025-04-19 00:00:00,2025-04-24 20:51:56,3.0,526.0
2025-04-19 01:00:00,2025-04-24 20:51:56,3.0,539.0
2025-04-19 02:00:00,2025-04-24 20:51:56,3.0,636.0
2025-04-19 03:00:00,2025-04-24 20:51:56,3.0,565.0
2025-04-19 04:00:00,2025-04-24 20:51:56,3.0,614.0
2025-04-19 05:00:00,2025-04-24 20:51:56,3.0,639.0
2025-04-19 06:00:00,2025-04-24 20:51:56,3.0,607.0
2025-04-19 07:00:00,2025-04-24 20:51:56,3.0,560.0
2025-04-19 08:00:00,2025-04-24 20:51:56,3.0,521.0
2025-04-19 09:00:00,2025-04-24 20:51:56,3.0,506.0
2025-04-19 10:00:00,2025-04-24 20:51:56,3.0,524.0
2025-04-19 11:00:00,2025-04-24 20:51:56,3.0,533.0
2025-04-19 12:00:00,2025-04-24 20:51:56,3.0,571.0
2025-04-19 13:00:00,2025-04-24 20:51:56,3.0,625.0
2025-04-19 14:00:00,2025-04-24 20:51:56,3.0,605.0
2025-04-19 15:00:00,2025-04-24 20:51:56,3.0,284.0
2025-04-19 16:00:00,2025-04-24 20:51:56,3.0,269.0
2025-04-19 17:00:00,2025-04-24 20:51:56,3.0,454.0
2025-04-19 18:00:00,2025-04-24 20:51:56,3.0,268.0
2025-04-19 19:00:00,2025-04-24 20:51:56,3.0,192.0
2025-04-19 20:00:00,2025-04-24 20:51:56,3.0,190.0
2025-04-19 21:00:00,2025-04-24 20:51:56,3.0,270.0
2025-04-19 22:00:00,2025-04-24 20:51:56,3.0,357.0
2025-04-19 23:00:00,2025-04-24 20:51:56,3.0,356.0
2025-04-20 00:00:00,2025-04-24 20:51:56,3.0,321.0
2025-04-20 01:00:00,2025-04-24 20:51:56,3.0,430.0
2025-04-20 02:00:00,2025-04-24 20:51:56,3.0,533.0
2025-04-20 03:00:00,2025-04-24 20:51:56,3.0,549.0
2025-04-20 04:00:00,2025-04-24 20:51:56,3.0,581.5
2025-04-20 05:00:00,2025-04-24 20:51:56,3.0,610.25
2025-04-20 06:00:00,2025-04-24 20:51:56,3.0,608.625
2025-04-20 07:00:00,2025-04-24 20:51:56,3.0,584.3125
2025-04-20 08:00:00,2025-04-24 20:51:56,3.0,552.65625
2025-04-20 09:00:00,2025-04-24 20:51:56,3.0,529.328125
2025-04-20 10:00:00,2025-04-24 20:51:56,3.0,526.6640625
2025-04-20 11:00:00,2025-04-24 20:51:56,3.0,529.83203125
2025-04-20 12:00:00,2025-04-24 20:51:56,3.0,550.416015625
2025-04-20 13:00:00,2025-04-24 20:51:56,3.0,587.7080078125
2025-04-20 14:00:00,2025-04-24 20:51:56,3.0,596.35400390625
2025-04-20 15:00:00,2025-04-24 20:51:56,3.0,440.177001953125
2025-04-20 16:00:00,2025-04-24 20:51:56,3.0,354.5885009765625
2025-04-20 17:00:00,2025-04-24 20:51:56,3.0,404.2942504882813
2025-04-20 18:00:00,2025-04-24 20:51:56,3.0,336.1471252441406
2025-04-20 19:00:00,2025-04-24 20:51:56,3.0,264.0735626220703
2025-04-20 20:00:00,2025-04-24 20:51:56,3.0,227.0367813110352
2025-04-20 21:00:00,2025-04-24 20:51:56,3.0,248.5183906555176
2025-04-20 22:00:00,2025-04-24 20:51:56,3.0,302.7591953277588
2025-04-20 23:00:00,2025-04-24 20:51:56,3.0,329.3795976638794
