UTC time,solar,sol-w/int-bat,nat_gas
2025-04-19 00:00,49,41,528
2025-04-19 01:00,28,70,620
2025-04-19 02:00,3,2,771
2025-04-19 03:00,0,0,794
2025-04-19 04:00,0,0,801
2025-04-19 05:00,0,0,773
2025-04-19 06:00,0,38,578
2025-04-19 07:00,0,36,581
2025-04-19 08:00,0,3,573
2025-04-19 09:00,0,0,572
2025-04-19 10:00,0,0,572
2025-04-19 11:00,0,0,575
2025-04-19 12:00,0,0,571
2025-04-19 13:00,1,1,580
2025-04-19 14:00,38,29,581
2025-04-19 15:00,63,119,305
2025-04-19 16:00,85,116,265
2025-04-19 17:00,102,113,274
2025-04-19 18:00,74,119,274
2025-04-19 19:00,66,110,271
2025-04-19 20:00,70,120,272
2025-04-19 21:00,57,92,274
2025-04-19 22:00,51,54,279
2025-04-19 23:00,61,23,275
2025-04-20 00:00,72,90,271
2025-04-20 01:00,,,
2025-04-20 02:00,,,
2025-04-20 03:00,,,
2025-04-20 04:00,,,
2025-04-20 05:00,,,
2025-04-20 06:00,,,
2025-04-20 07:00,,,
2025-04-20 08:00,,,
2025-04-20 09:00,,,
2025-04-20 10:00,,,
2025-04-20 11:00,,,
2025-04-20 12:00,,,
2025-04-20 13:00,,,
2025-04-20 14:00,,,
2025-04-20 15:00,,,
2025-04-20 16:00,,,
2025-04-20 17:00,,,
2025-04-20 18:00,,,
2025-04-20 19:00,,,
2025-04-20 20:00,,,
2025-04-20 21:00,,,
2025-04-20 22:00,,,
2025-04-20 23:00,,,
