UTC time,nat_gas,hydro,other,battery,unk_src,nuclear,coal,solar,wind
2025-04-19 00:00,24957,229,0,1325,-282,5060,7228,3033,18288
2025-04-19 01:00,25033,229,0,1198,-328,5060,7462,562,18903
2025-04-19 02:00,23824,201,0,1417,-293,5061,7508,4,20291
2025-04-19 03:00,22754,138,0,826,-202,5061,6961,0,21388
2025-04-19 04:00,21197,2,0,523,-221,5061,6067,0,22446
2025-04-19 05:00,19090,0,0,290,-359,5061,5250,0,23076
2025-04-19 06:00,17880,0,0,144,-613,5062,4972,0,22466
2025-04-19 07:00,16286,0,0,74,-942,5062,4717,0,22725
2025-04-19 08:00,16502,11,0,81,-1082,5062,4763,0,20980
2025-04-19 09:00,16216,18,0,69,-839,5063,4791,0,20000
2025-04-19 10:00,15245,18,0,137,-696,5063,4745,0,20300
2025-04-19 11:00,15266,18,0,278,-329,5063,4585,0,19541
2025-04-19 12:00,16445,2,0,487,-178,5062,5114,1,16842
2025-04-19 13:00,16205,0,0,849,-120,5063,5119,492,16412
2025-04-19 14:00,14802,0,0,274,-583,5061,4790,4319,17363
2025-04-19 15:00,13252,0,0,64,-1415,5061,4212,9564,18097
2025-04-19 16:00,13635,0,0,130,-770,5062,4161,11718,16486
2025-04-19 17:00,15014,18,0,210,-495,5062,4509,12848,14552
2025-04-19 18:00,14554,1,0,144,-728,5061,4329,14478,15096
2025-04-19 19:00,14419,0,0,65,-549,5060,4150,13935,16756
2025-04-19 20:00,15139,0,1,232,-456,5060,4242,12603,17659
2025-04-19 21:00,15810,0,3,101,-461,5060,4623,11705,18114
2025-04-19 22:00,15553,13,2,189,-437,5059,4633,11094,19216
2025-04-19 23:00,17161,105,0,243,-463,5059,4933,7922,20122
2025-04-20 00:00,19158,211,3,305,-302,5059,5708,4071,20120
2025-04-20 01:00,,,,,,,,,
2025-04-20 02:00,,,,,,,,,
2025-04-20 03:00,,,,,,,,,
2025-04-20 04:00,,,,,,,,,
2025-04-20 05:00,,,,,,,,,
2025-04-20 06:00,,,,,,,,,
2025-04-20 07:00,,,,,,,,,
2025-04-20 08:00,,,,,,,,,
2025-04-20 09:00,,,,,,,,,
2025-04-20 10:00,,,,,,,,,
2025-04-20 11:00,,,,,,,,,
2025-04-20 12:00,,,,,,,,,
2025-04-20 13:00,,,,,,,,,
2025-04-20 14:00,,,,,,,,,
2025-04-20 15:00,,,,,,,,,
2025-04-20 16:00,,,,,,,,,
2025-04-20 17:00,,,,,,,,,
2025-04-20 18:00,,,,,,,,,
2025-04-20 19:00,,,,,,,,,
2025-04-20 20:00,,,,,,,,,
2025-04-20 21:00,,,,,,,,,
2025-04-20 22:00,,,,,,,,,
2025-04-20 23:00,,,,,,,,,
