UTC time,oil,solar,nat_gas,coal,nuclear,other
2025-04-19 00:00:00,0.0,10.0,1281.0,688.0,130.0,15.0
2025-04-19 01:00:00,0.0,0.0,1246.0,641.0,127.0,19.0
2025-04-19 02:00:00,0.0,0.0,1177.0,552.0,127.0,15.0
2025-04-19 03:00:00,0.0,0.0,1187.0,378.0,129.0,14.0
2025-04-19 04:00:00,0.0,0.0,1102.0,319.0,126.0,14.0
2025-04-19 05:00:00,0.0,0.0,1202.0,225.0,132.0,13.0
2025-04-19 06:00:00,0.0,0.0,1077.0,221.0,128.0,15.0
2025-04-19 07:00:00,0.0,0.0,975.0,223.0,128.0,13.0
2025-04-19 08:00:00,0.0,0.0,896.0,223.0,130.0,14.0
2025-04-19 09:00:00,0.0,0.0,871.0,221.0,129.0,14.0
2025-04-19 10:00:00,0.0,0.0,884.0,224.0,130.0,15.0
2025-04-19 11:00:00,0.0,0.0,991.0,225.0,128.0,16.0
2025-04-19 12:00:00,0.0,17.0,939.0,221.0,130.0,15.0
2025-04-19 13:00:00,0.0,100.0,968.0,226.0,130.0,16.0
2025-04-19 14:00:00,0.0,136.0,1035.0,225.0,127.0,18.0
2025-04-19 15:00:00,0.0,142.0,1129.0,238.0,130.0,16.0
2025-04-19 16:00:00,0.0,150.0,1209.0,292.0,128.0,15.0
2025-04-19 17:00:00,0.0,158.0,1183.0,296.0,130.0,17.0
2025-04-19 18:00:00,0.0,170.0,1252.0,300.0,129.0,17.0
2025-04-19 19:00:00,0.0,170.0,1286.0,365.0,130.0,17.0
2025-04-19 20:00:00,0.0,170.0,1305.0,443.0,128.0,17.0
2025-04-19 21:00:00,0.0,168.0,1368.0,454.0,131.0,16.0
2025-04-19 22:00:00,0.0,158.0,1367.0,523.0,127.0,15.0
2025-04-19 23:00:00,0.0,93.0,1310.0,634.0,129.0,14.0
2025-04-20 00:00:00,0.0,11.0,1255.0,656.0,132.0,14.0
2025-04-20 01:00:00,0.0,5.5,1250.5,648.5,129.5,16.5
2025-04-20 02:00:00,0.0,2.75,1213.75,600.25,128.25,15.75
2025-04-20 03:00:00,0.0,1.375,1200.375,489.125,128.625,14.875
2025-04-20 04:00:00,0.0,0.6875,1151.1875,404.0625,127.3125,14.4375
2025-04-20 05:00:00,0.0,0.34375,1176.59375,314.53125,129.65625,13.71875
2025-04-20 06:00:00,0.0,0.171875,1126.796875,267.765625,128.828125,14.359375
2025-04-20 07:00:00,0.0,0.0859375,1050.8984375,245.3828125,128.4140625,13.6796875
2025-04-20 08:00:00,0.0,0.04296875,973.44921875,234.19140625,129.20703125,13.83984375
2025-04-20 09:00:00,0.0,0.021484375,922.224609375,227.595703125,129.103515625,13.919921875
2025-04-20 10:00:00,0.0,0.0107421875,903.1123046875,225.7978515625,129.5517578125,14.4599609375
2025-04-20 11:00:00,0.0,0.00537109375,947.05615234375,225.39892578125,128.77587890625,15.22998046875
2025-04-20 12:00:00,0.0,8.502685546875,943.028076171875,223.199462890625,129.387939453125,15.114990234375
2025-04-20 13:00:00,0.0,54.2513427734375,955.5140380859375,224.5997314453125,129.6939697265625,15.5574951171875
2025-04-20 14:00:00,0.0,95.12567138671875,995.2570190429688,224.79986572265625,128.34698486328125,16.77874755859375
2025-04-20 15:00:00,0.0,118.56283569335938,1062.1285095214844,231.39993286132812,129.17349243164062,16.389373779296875
2025-04-20 16:00:00,0.0,134.2814178466797,1135.5642547607422,261.69996643066406,128.5867462158203,15.694686889648438
2025-04-20 17:00:00,0.0,146.14070892333984,1159.282127380371,278.84998321533203,129.29337310791016,16.34734344482422
2025-04-20 18:00:00,0.0,158.07035446166992,1205.6410636901855,289.424991607666,129.14668655395508,16.67367172241211
2025-04-20 19:00:00,0.0,164.03517723083496,1245.8205318450928,327.212495803833,129.57334327697754,16.836835861206055
2025-04-20 20:00:00,0.0,167.01758861541748,1275.4102659225464,385.1062479019165,128.78667163848877,16.918417930603027
2025-04-20 21:00:00,0.0,167.50879430770874,1321.7051329612732,419.55312395095825,129.89333581924438,16.459208965301514
2025-04-20 22:00:00,0.0,162.75439715385437,1344.3525664806366,471.2765619754791,128.4466679096222,15.729604482650757
2025-04-20 23:00:00,0.0,127.87719857692719,1327.1762832403183,552.6382809877396,128.7233339548111,14.864802241325378
