UTC time,solar,other,battery,nat_gas,coal,hydro,oil
2025-04-19 00:00,192,70,0,6179,714,33,0
2025-04-19 01:00,0,68,0,6016,710,32,0
2025-04-19 02:00,0,68,0,5553,687,33,0
2025-04-19 03:00,0,66,-2,4996,673,33,0
2025-04-19 04:00,0,68,-1,4286,669,34,0
2025-04-19 05:00,0,67,0,3434,637,33,0
2025-04-19 06:00,0,66,0,3283,332,34,0
2025-04-19 07:00,0,68,0,3153,203,34,0
2025-04-19 08:00,0,67,0,2997,204,34,0
2025-04-19 09:00,0,81,0,2890,206,34,0
2025-04-19 10:00,0,90,-1,2899,203,34,0
2025-04-19 11:00,0,83,0,2939,205,34,0
2025-04-19 12:00,162,85,0,2995,204,35,0
2025-04-19 13:00,993,81,-1,2826,205,33,0
2025-04-19 14:00,1520,70,0,2864,204,33,0
2025-04-19 15:00,1612,73,1,3249,210,32,0
2025-04-19 16:00,1629,69,-1,3659,398,35,0
2025-04-19 17:00,1602,67,1,3937,598,36,0
2025-04-19 18:00,1600,68,0,4089,711,36,0
2025-04-19 19:00,1659,65,1,4431,716,37,0
2025-04-19 20:00,1665,63,0,4765,717,36,0
2025-04-19 21:00,1580,69,0,5183,714,36,0
2025-04-19 22:00,1454,70,0,5464,715,36,0
2025-04-19 23:00,936,70,-1,5790,716,36,0
2025-04-20 00:00,149,68,0,6069,714,35,0
2025-04-20 01:00,,,,,,,
2025-04-20 02:00,,,,,,,
2025-04-20 03:00,,,,,,,
2025-04-20 04:00,,,,,,,
2025-04-20 05:00,,,,,,,
2025-04-20 06:00,,,,,,,
2025-04-20 07:00,,,,,,,
2025-04-20 08:00,,,,,,,
2025-04-20 09:00,,,,,,,
2025-04-20 10:00,,,,,,,
2025-04-20 11:00,,,,,,,
2025-04-20 12:00,,,,,,,
2025-04-20 13:00,,,,,,,
2025-04-20 14:00,,,,,,,
2025-04-20 15:00,,,,,,,
2025-04-20 16:00,,,,,,,
2025-04-20 17:00,,,,,,,
2025-04-20 18:00,,,,,,,
2025-04-20 19:00,,,,,,,
2025-04-20 20:00,,,,,,,
2025-04-20 21:00,,,,,,,
2025-04-20 22:00,,,,,,,
2025-04-20 23:00,,,,,,,
