,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,nuclear,oil,solar,other
0,2025-04-25 00:00:00,2025-05-01 04:36:13,3.0,400.36,15957.0,3762.0,0.0,505.0,701.0
1,2025-04-25 01:00:00,2025-05-01 04:36:13,3.0,410.01,15816.0,3760.0,0.0,9.0,809.0
2,2025-04-25 02:00:00,2025-05-01 04:36:13,3.0,403.12,15191.0,3760.0,0.0,0.0,508.0
3,2025-04-25 03:00:00,2025-05-01 04:36:13,3.0,396.0,13805.0,3761.0,0.0,0.0,482.0
4,2025-04-25 04:00:00,2025-05-01 04:36:13,3.0,385.23,12052.0,3762.0,0.0,0.0,449.0
5,2025-04-25 05:00:00,2025-05-01 04:36:13,3.0,371.26,10460.0,3760.0,0.0,0.0,331.0
6,2025-04-25 06:00:00,2025-05-01 04:36:13,3.0,359.61,9168.0,3763.0,0.0,0.0,331.0
7,2025-04-25 07:00:00,2025-05-01 04:36:13,3.0,350.1,8286.0,3764.0,0.0,0.0,324.0
8,2025-04-25 08:00:00,2025-05-01 04:36:13,3.0,343.88,7757.0,3765.0,0.0,0.0,326.0
9,2025-04-25 09:00:00,2025-05-01 04:36:13,3.0,342.34,7621.0,3764.0,0.0,0.0,330.0
10,2025-04-25 10:00:00,2025-05-01 04:36:13,3.0,346.86,7989.0,3763.0,0.0,0.0,330.0
11,2025-04-25 11:00:00,2025-05-01 04:36:13,3.0,357.52,8966.0,3764.0,0.0,2.0,331.0
12,2025-04-25 12:00:00,2025-05-01 04:36:13,3.0,346.05,9071.0,3763.0,0.0,551.0,331.0
13,2025-04-25 13:00:00,2025-05-01 04:36:13,3.0,293.85,8261.0,3764.0,0.0,2787.0,330.0
14,2025-04-25 14:00:00,2025-05-01 04:36:13,3.0,255.57,7651.0,3764.0,0.0,4856.0,328.0
15,2025-04-25 15:00:00,2025-05-01 04:36:13,3.0,250.05,8107.0,3764.0,0.0,5837.0,328.0
16,2025-04-25 16:00:00,2025-05-01 04:36:13,3.0,250.98,8655.0,3764.0,0.0,6393.0,329.0
