,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,solar,wind
0,2025-04-19 00:00:00,2025-04-24 22:29:03,3.0,332.84,0.0,991.0,29.0,458.0
1,2025-04-19 01:00:00,2025-04-24 22:29:03,3.0,335.09,0.0,1079.0,69.0,454.0
2,2025-04-19 02:00:00,2025-04-24 22:29:03,3.0,364.85,0.0,1295.0,0.0,458.0
3,2025-04-19 03:00:00,2025-04-24 22:29:03,3.0,367.85,0.0,1338.0,0.0,458.0
4,2025-04-19 04:00:00,2025-04-24 22:29:03,3.0,377.05,0.0,1345.0,0.0,415.0
5,2025-04-19 05:00:00,2025-04-24 22:29:03,3.0,374.32,0.0,1338.0,0.0,426.0
6,2025-04-19 06:00:00,2025-04-24 22:29:03,3.0,370.38,0.0,1343.0,0.0,447.0
7,2025-04-19 07:00:00,2025-04-24 22:29:03,3.0,368.66,0.0,1350.0,0.0,458.0
8,2025-04-19 08:00:00,2025-04-24 22:29:03,3.0,368.45,0.0,1344.0,0.0,457.0
9,2025-04-19 09:00:00,2025-04-24 22:29:03,3.0,366.04,0.0,1306.0,0.0,456.0
10,2025-04-19 10:00:00,2025-04-24 22:29:03,3.0,367.77,0.0,1331.0,0.0,456.0
11,2025-04-19 11:00:00,2025-04-24 22:29:03,3.0,368.51,0.0,1336.0,0.0,454.0
12,2025-04-19 12:00:00,2025-04-24 22:29:03,3.0,368.72,0.0,1348.0,0.0,457.0
13,2025-04-19 13:00:00,2025-04-24 22:29:03,3.0,369.25,0.0,1350.0,0.0,455.0
14,2025-04-19 14:00:00,2025-04-24 22:29:03,3.0,366.09,0.0,1325.0,17.0,447.0
15,2025-04-19 15:00:00,2025-04-24 22:29:03,3.0,340.15,0.0,1070.0,86.0,410.0
16,2025-04-19 16:00:00,2025-04-24 22:29:03,3.0,316.23,0.0,887.0,126.0,393.0
17,2025-04-19 17:00:00,2025-04-24 22:29:03,3.0,325.87,0.0,872.0,134.0,335.0
18,2025-04-19 18:00:00,2025-04-24 22:29:03,3.0,325.2,0.0,917.0,139.0,357.0
19,2025-04-19 19:00:00,2025-04-24 22:29:03,3.0,331.68,0.0,931.0,145.0,330.0
20,2025-04-19 20:00:00,2025-04-24 22:29:03,3.0,311.78,0.0,873.0,148.0,386.0
21,2025-04-19 21:00:00,2025-04-24 22:29:03,3.0,318.65,0.0,924.0,148.0,383.0
22,2025-04-19 22:00:00,2025-04-24 22:29:03,3.0,339.86,0.0,937.0,147.0,296.0
23,2025-04-19 23:00:00,2025-04-24 22:29:03,3.0,319.32,0.0,946.0,148.0,392.0
24,2025-04-20 00:00:00,2025-04-24 22:29:03,3.0,352.08,0.0,1107.0,144.0,318.0
25,2025-04-20 01:00:00,2025-04-24 22:29:03,3.0,343.49,0.0,1093.0,106.5,386.0
26,2025-04-20 02:00:00,2025-04-24 22:29:03,3.0,354.71,0.0,1194.0,53.25,422.0
27,2025-04-20 03:00:00,2025-04-24 22:29:03,3.0,361.52,0.0,1266.0,26.625,440.0
28,2025-04-20 04:00:00,2025-04-24 22:29:03,3.0,369.35,0.0,1305.5,13.3125,427.5
29,2025-04-20 05:00:00,2025-04-24 22:29:03,3.0,371.85,0.0,1321.75,6.65625,426.75
30,2025-04-20 06:00:00,2025-04-24 22:29:03,3.0,371.11,0.0,1332.375,3.328125,436.875
31,2025-04-20 07:00:00,2025-04-24 22:29:03,3.0,369.87,0.0,1341.1875,1.6640625,447.4375
32,2025-04-20 08:00:00,2025-04-24 22:29:03,3.0,369.16,0.0,1342.59375,0.83203125,452.21875
33,2025-04-20 09:00:00,2025-04-24 22:29:03,3.0,367.61,0.0,1324.296875,0.416015625,454.109375
34,2025-04-20 10:00:00,2025-04-24 22:29:03,3.0,367.69,0.0,1327.6484375,0.2080078125,455.0546875
35,2025-04-20 11:00:00,2025-04-24 22:29:03,3.0,368.1,0.0,1331.82421875,0.10400390625,454.52734375
36,2025-04-20 12:00:00,2025-04-24 22:29:03,3.0,368.41,0.0,1339.912109375,0.052001953125,455.763671875
37,2025-04-20 13:00:00,2025-04-24 22:29:03,3.0,368.84,0.0,1344.9560546875,0.0260009765625,455.3818359375
38,2025-04-20 14:00:00,2025-04-24 22:29:03,3.0,367.47,0.0,1334.97802734375,8.51300048828125,451.19091796875
39,2025-04-20 15:00:00,2025-04-24 22:29:03,3.0,354.74,0.0,1202.489013671875,47.25650024414063,430.595458984375
40,2025-04-20 16:00:00,2025-04-24 22:29:03,3.0,337.2,0.0,1044.7445068359375,86.62825012207031,411.7977294921875
41,2025-04-20 17:00:00,2025-04-24 22:29:03,3.0,331.93,0.0,958.3722534179688,110.31412506103516,373.39886474609375
42,2025-04-20 18:00:00,2025-04-24 22:29:03,3.0,328.6,0.0,937.6861267089844,124.65706253051758,365.1994323730469
43,2025-04-20 19:00:00,2025-04-24 22:29:03,3.0,330.13,0.0,934.3430633544922,134.8285312652588,347.59971618652344
44,2025-04-20 20:00:00,2025-04-24 22:29:03,3.0,320.99,0.0,903.671531677246,141.4142656326294,366.7998580932617
45,2025-04-20 21:00:00,2025-04-24 22:29:03,3.0,319.8,0.0,913.835765838623,144.7071328163147,374.89992904663086
46,2025-04-20 22:00:00,2025-04-24 22:29:03,3.0,329.64,0.0,925.4178829193116,145.85356640815735,335.44996452331543
47,2025-04-20 23:00:00,2025-04-24 22:29:03,3.0,324.34,0.0,935.7089414596558,146.92678320407867,363.7249822616577
