UTC time,creation_time (UTC),version,coal,nat_gas,oil,solar,other
2025-04-19 00:00:00,2025-04-24 19:42:06,3.0,0.0,1231.0,0.0,1.0,3.0
2025-04-19 01:00:00,2025-04-24 19:42:06,3.0,0.0,1199.0,0.0,0.0,3.0
2025-04-19 02:00:00,2025-04-24 19:42:06,3.0,0.0,1100.0,0.0,0.0,3.0
2025-04-19 03:00:00,2025-04-24 19:42:06,3.0,0.0,991.0,0.0,0.0,3.0
2025-04-19 04:00:00,2025-04-24 19:42:06,3.0,0.0,969.0,0.0,0.0,3.0
2025-04-19 05:00:00,2025-04-24 19:42:06,3.0,0.0,841.0,0.0,0.0,3.0
2025-04-19 06:00:00,2025-04-24 19:42:06,3.0,0.0,749.0,0.0,0.0,3.0
2025-04-19 07:00:00,2025-04-24 19:42:06,3.0,0.0,654.0,0.0,0.0,3.0
2025-04-19 08:00:00,2025-04-24 19:42:06,3.0,0.0,685.0,0.0,0.0,3.0
2025-04-19 09:00:00,2025-04-24 19:42:06,3.0,0.0,677.0,0.0,0.0,3.0
2025-04-19 10:00:00,2025-04-24 19:42:06,3.0,0.0,682.0,0.0,0.0,3.0
2025-04-19 11:00:00,2025-04-24 19:42:06,3.0,0.0,677.0,0.0,0.0,3.0
2025-04-19 12:00:00,2025-04-24 19:42:06,3.0,0.0,667.0,0.0,1.0,3.0
2025-04-19 13:00:00,2025-04-24 19:42:06,3.0,0.0,711.0,0.0,11.0,3.0
2025-04-19 14:00:00,2025-04-24 19:42:06,3.0,0.0,726.0,0.0,21.0,3.0
2025-04-19 15:00:00,2025-04-24 19:42:06,3.0,0.0,809.0,0.0,24.0,3.0
2025-04-19 16:00:00,2025-04-24 19:42:06,3.0,0.0,856.0,0.0,26.0,3.0
2025-04-19 17:00:00,2025-04-24 19:42:06,3.0,0.0,947.0,0.0,27.0,3.0
2025-04-19 18:00:00,2025-04-24 19:42:06,3.0,0.0,1113.0,0.0,27.0,3.0
2025-04-19 19:00:00,2025-04-24 19:42:06,3.0,0.0,1152.0,0.0,27.0,3.0
2025-04-19 20:00:00,2025-04-24 19:42:06,3.0,0.0,1190.0,0.0,26.0,3.0
2025-04-19 21:00:00,2025-04-24 19:42:06,3.0,0.0,1211.0,0.0,24.0,3.0
2025-04-19 22:00:00,2025-04-24 19:42:06,3.0,0.0,1268.0,0.0,19.0,3.0
2025-04-19 23:00:00,2025-04-24 19:42:06,3.0,0.0,1293.0,0.0,11.0,3.0
2025-04-20 00:00:00,2025-04-24 19:42:06,3.0,0.0,1240.0,0.0,2.0,3.0
2025-04-20 01:00:00,2025-04-24 19:42:06,3.0,0.0,1219.5,0.0,1.0,3.0
2025-04-20 02:00:00,2025-04-24 19:42:06,3.0,0.0,1159.75,0.0,0.5,3.0
2025-04-20 03:00:00,2025-04-24 19:42:06,3.0,0.0,1075.375,0.0,0.25,3.0
2025-04-20 04:00:00,2025-04-24 19:42:06,3.0,0.0,1022.1875,0.0,0.125,3.0
2025-04-20 05:00:00,2025-04-24 19:42:06,3.0,0.0,931.59375,0.0,0.0625,3.0
2025-04-20 06:00:00,2025-04-24 19:42:06,3.0,0.0,840.296875,0.0,0.03125,3.0
2025-04-20 07:00:00,2025-04-24 19:42:06,3.0,0.0,747.1484375,0.0,0.015625,3.0
2025-04-20 08:00:00,2025-04-24 19:42:06,3.0,0.0,716.07421875,0.0,0.0078125,3.0
2025-04-20 09:00:00,2025-04-24 19:42:06,3.0,0.0,696.537109375,0.0,0.00390625,3.0
2025-04-20 10:00:00,2025-04-24 19:42:06,3.0,0.0,689.2685546875,0.0,0.001953125,3.0
2025-04-20 11:00:00,2025-04-24 19:42:06,3.0,0.0,683.13427734375,0.0,0.0009765625,3.0
2025-04-20 12:00:00,2025-04-24 19:42:06,3.0,0.0,675.067138671875,0.0,0.50048828125,3.0
2025-04-20 13:00:00,2025-04-24 19:42:06,3.0,0.0,693.0335693359375,0.0,5.750244140625,3.0
2025-04-20 14:00:00,2025-04-24 19:42:06,3.0,0.0,709.5167846679688,0.0,13.3751220703125,3.0
2025-04-20 15:00:00,2025-04-24 19:42:06,3.0,0.0,759.2583923339844,0.0,18.68756103515625,3.0
2025-04-20 16:00:00,2025-04-24 19:42:06,3.0,0.0,807.6291961669922,0.0,22.343780517578125,3.0
2025-04-20 17:00:00,2025-04-24 19:42:06,3.0,0.0,877.3145980834961,0.0,24.671890258789062,3.0
2025-04-20 18:00:00,2025-04-24 19:42:06,3.0,0.0,995.157299041748,0.0,25.83594512939453,3.0
2025-04-20 19:00:00,2025-04-24 19:42:06,3.0,0.0,1073.578649520874,0.0,26.417972564697266,3.0
2025-04-20 20:00:00,2025-04-24 19:42:06,3.0,0.0,1131.789324760437,0.0,26.208986282348636,3.0
2025-04-20 21:00:00,2025-04-24 19:42:06,3.0,0.0,1171.3946623802185,0.0,25.10449314117432,3.0
2025-04-20 22:00:00,2025-04-24 19:42:06,3.0,0.0,1219.6973311901093,0.0,22.05224657058716,3.0
2025-04-20 23:00:00,2025-04-24 19:42:06,3.0,0.0,1256.3486655950546,0.0,16.52612328529358,3.0
