UTC time,solar,nat_gas,other,battery,coal,wind,hydro,nuclear
2025-04-19 00:00,1193,21200,288,71,17623,17047,1303,9769
2025-04-19 01:00,85,21339,281,13,18445,16639,1269,9699
2025-04-19 02:00,1,21483,259,-33,19430,15689,1235,9667
2025-04-19 03:00,1,20509,266,-39,18376,15862,1228,9719
2025-04-19 04:00,1,18328,264,-82,16655,16968,1110,9849
2025-04-19 05:00,1,15991,257,-82,14876,18289,1070,9864
2025-04-19 06:00,1,14739,256,-38,13841,17333,1064,9864
2025-04-19 07:00,2,13894,248,-9,13551,15530,1008,9865
2025-04-19 08:00,1,13771,241,-83,13708,14222,1001,9882
2025-04-19 09:00,1,14038,246,-8,13468,13364,1000,9892
2025-04-19 10:00,1,15250,246,93,13740,11734,1002,9903
2025-04-19 11:00,1,17044,258,102,14499,10143,1066,9912
2025-04-19 12:00,21,18586,255,60,15308,8884,1073,9911
2025-04-19 13:00,801,20094,261,7,17268,6417,1126,9915
2025-04-19 14:00,2621,20343,289,2,19008,5095,1100,9917
2025-04-19 15:00,3920,19937,291,-11,18896,5595,1151,9915
2025-04-19 16:00,5494,20036,289,-51,18556,5782,1152,9917
2025-04-19 17:00,6425,19901,289,-50,18425,6899,1112,9919
2025-04-19 18:00,7006,20033,285,30,18175,6582,1168,9921
2025-04-19 19:00,6856,20727,285,11,19191,5265,1048,9920
2025-04-19 20:00,6822,21173,287,-27,19758,4011,1139,9918
2025-04-19 21:00,6359,21945,284,-19,20112,3708,1130,9916
2025-04-19 22:00,5140,23860,287,-4,20125,3370,1142,9918
2025-04-19 23:00,4015,25266,285,-32,20458,2935,1157,9914
2025-04-20 00:00,2302,26230,285,-18,20369,3034,1350,9913
2025-04-20 01:00,,,,,,,,
2025-04-20 02:00,,,,,,,,
2025-04-20 03:00,,,,,,,,
2025-04-20 04:00,,,,,,,,
2025-04-20 05:00,,,,,,,,
2025-04-20 06:00,,,,,,,,
2025-04-20 07:00,,,,,,,,
2025-04-20 08:00,,,,,,,,
2025-04-20 09:00,,,,,,,,
2025-04-20 10:00,,,,,,,,
2025-04-20 11:00,,,,,,,,
2025-04-20 12:00,,,,,,,,
2025-04-20 13:00,,,,,,,,
2025-04-20 14:00,,,,,,,,
2025-04-20 15:00,,,,,,,,
2025-04-20 16:00,,,,,,,,
2025-04-20 17:00,,,,,,,,
2025-04-20 18:00,,,,,,,,
2025-04-20 19:00,,,,,,,,
2025-04-20 20:00,,,,,,,,
2025-04-20 21:00,,,,,,,,
2025-04-20 22:00,,,,,,,,
2025-04-20 23:00,,,,,,,,
