datetime,creation_time (UTC),version,avg_wind_production_forecast
2025-05-06T00:00:00.000000000,2025-05-08 22:24:46,3.0,2891.61987
2025-05-06T01:00:00.000000000,2025-05-08 22:24:46,3.0,43.52849
2025-05-06T02:00:00.000000000,2025-05-08 22:24:46,3.0,44.00419
2025-05-06T03:00:00.000000000,2025-05-08 22:24:46,3.0,42.84051
2025-05-06T04:00:00.000000000,2025-05-08 22:24:46,3.0,39.81621
2025-05-06T05:00:00.000000000,2025-05-08 22:24:46,3.0,39.11591
2025-05-06T06:00:00.000000000,2025-05-08 22:24:46,3.0,35.07926
2025-05-06T07:00:00.000000000,2025-05-08 22:24:46,3.0,36.03618
2025-05-06T08:00:00.000000000,2025-05-08 22:24:46,3.0,37.56311
2025-05-06T09:00:00.000000000,2025-05-08 22:24:46,3.0,41.57307
2025-05-06T10:00:00.000000000,2025-05-08 22:24:46,3.0,36.33715
2025-05-06T11:00:00.000000000,2025-05-08 22:24:46,3.0,40.27051
2025-05-06T12:00:00.000000000,2025-05-08 22:24:46,3.0,43.84047
2025-05-06T13:00:00.000000000,2025-05-08 22:24:46,3.0,41.04993
2025-05-06T14:00:00.000000000,2025-05-08 22:24:46,3.0,38.48875
2025-05-06T15:00:00.000000000,2025-05-08 22:24:46,3.0,37.67743
2025-05-06T16:00:00.000000000,2025-05-08 22:24:46,3.0,33.88015
2025-05-06T17:00:00.000000000,2025-05-08 22:24:46,3.0,39.25361
2025-05-06T18:00:00.000000000,2025-05-08 22:24:46,3.0,37.21056
2025-05-06T19:00:00.000000000,2025-05-08 22:24:46,3.0,38.62457
2025-05-06T20:00:00.000000000,2025-05-08 22:24:46,3.0,32.88932
2025-05-06T21:00:00.000000000,2025-05-08 22:24:46,3.0,36.49
2025-05-06T22:00:00.000000000,2025-05-08 22:24:46,3.0,34.90315
2025-05-06T23:00:00.000000000,2025-05-08 22:24:46,3.0,30.83184
2025-05-07T00:00:00.000000000,2025-05-08 22:24:46,3.0,2891.61987
2025-05-07T01:00:00.000000000,2025-05-08 22:24:46,3.0,2958.65988
2025-05-07T02:00:00.000000000,2025-05-08 22:24:46,3.0,44.00419
2025-05-07T03:00:00.000000000,2025-05-08 22:24:46,3.0,42.84051
2025-05-07T04:00:00.000000000,2025-05-08 22:24:46,3.0,39.81621
2025-05-07T05:00:00.000000000,2025-05-08 22:24:46,3.0,39.11591
2025-05-07T06:00:00.000000000,2025-05-08 22:24:46,3.0,35.07926
2025-05-07T07:00:00.000000000,2025-05-08 22:24:46,3.0,36.03618
2025-05-07T08:00:00.000000000,2025-05-08 22:24:46,3.0,37.56311
2025-05-07T09:00:00.000000000,2025-05-08 22:24:46,3.0,41.57307
2025-05-07T10:00:00.000000000,2025-05-08 22:24:46,3.0,36.33715
2025-05-07T11:00:00.000000000,2025-05-08 22:24:46,3.0,40.27051
2025-05-07T12:00:00.000000000,2025-05-08 22:24:46,3.0,43.84047
2025-05-07T13:00:00.000000000,2025-05-08 22:24:46,3.0,41.04993
2025-05-07T14:00:00.000000000,2025-05-08 22:24:46,3.0,38.48875
2025-05-07T15:00:00.000000000,2025-05-08 22:24:46,3.0,37.67743
2025-05-07T16:00:00.000000000,2025-05-08 22:24:46,3.0,33.88015
2025-05-07T17:00:00.000000000,2025-05-08 22:24:46,3.0,39.25361
2025-05-07T18:00:00.000000000,2025-05-08 22:24:46,3.0,37.21056
2025-05-07T19:00:00.000000000,2025-05-08 22:24:46,3.0,38.62457
2025-05-07T20:00:00.000000000,2025-05-08 22:24:46,3.0,32.88932
2025-05-07T21:00:00.000000000,2025-05-08 22:24:46,3.0,36.49
2025-05-07T22:00:00.000000000,2025-05-08 22:24:46,3.0,34.90315
2025-05-07T23:00:00.000000000,2025-05-08 22:24:46,3.0,30.83184
2025-05-08T00:00:00.000000000,2025-05-08 22:24:46,3.0,2891.61987
2025-05-08T01:00:00.000000000,2025-05-08 22:24:46,3.0,2958.65988
2025-05-08T02:00:00.000000000,2025-05-08 22:24:46,3.0,2904.00003
2025-05-08T03:00:00.000000000,2025-05-08 22:24:46,3.0,42.84051
2025-05-08T04:00:00.000000000,2025-05-08 22:24:46,3.0,39.81621
2025-05-08T05:00:00.000000000,2025-05-08 22:24:46,3.0,39.11591
2025-05-08T06:00:00.000000000,2025-05-08 22:24:46,3.0,35.07926
2025-05-08T07:00:00.000000000,2025-05-08 22:24:46,3.0,36.03618
2025-05-08T08:00:00.000000000,2025-05-08 22:24:46,3.0,37.56311
2025-05-08T09:00:00.000000000,2025-05-08 22:24:46,3.0,41.57307
2025-05-08T10:00:00.000000000,2025-05-08 22:24:46,3.0,36.33715
2025-05-08T11:00:00.000000000,2025-05-08 22:24:46,3.0,40.27051
2025-05-08T12:00:00.000000000,2025-05-08 22:24:46,3.0,43.84047
2025-05-08T13:00:00.000000000,2025-05-08 22:24:46,3.0,41.04993
2025-05-08T14:00:00.000000000,2025-05-08 22:24:46,3.0,38.48875
2025-05-08T15:00:00.000000000,2025-05-08 22:24:46,3.0,37.67743
2025-05-08T16:00:00.000000000,2025-05-08 22:24:46,3.0,33.88015
2025-05-08T17:00:00.000000000,2025-05-08 22:24:46,3.0,39.25361
2025-05-08T18:00:00.000000000,2025-05-08 22:24:46,3.0,37.21056
2025-05-08T19:00:00.000000000,2025-05-08 22:24:46,3.0,38.62457
2025-05-08T20:00:00.000000000,2025-05-08 22:24:46,3.0,32.88932
2025-05-08T21:00:00.000000000,2025-05-08 22:24:46,3.0,36.49
2025-05-08T22:00:00.000000000,2025-05-08 22:24:46,3.0,34.90315
2025-05-08T23:00:00.000000000,2025-05-08 22:24:46,3.0,30.83184
2025-05-09T00:00:00.000000000,2025-05-08 22:24:46,3.0,2891.61987
2025-05-09T01:00:00.000000000,2025-05-08 22:24:46,3.0,2958.65988
2025-05-09T02:00:00.000000000,2025-05-08 22:24:46,3.0,2904.00003
2025-05-09T03:00:00.000000000,2025-05-08 22:24:46,3.0,2989.73008
2025-05-09T04:00:00.000000000,2025-05-08 22:24:46,3.0,39.81621
2025-05-09T05:00:00.000000000,2025-05-08 22:24:46,3.0,39.11591
2025-05-09T06:00:00.000000000,2025-05-08 22:24:46,3.0,35.07926
2025-05-09T07:00:00.000000000,2025-05-08 22:24:46,3.0,36.03618
2025-05-09T08:00:00.000000000,2025-05-08 22:24:46,3.0,37.56311
2025-05-09T09:00:00.000000000,2025-05-08 22:24:46,3.0,41.57307
