datetime,creation_time (UTC),version,avg_solar_production_forecast
2025-05-04T00:00:00.000000000,2025-05-08 01:08:32,3.0,9624.52966
2025-05-04T01:00:00.000000000,2025-05-08 01:08:32,3.0,57.29542
2025-05-04T02:00:00.000000000,2025-05-08 01:08:32,3.0,48.76966
2025-05-04T03:00:00.000000000,2025-05-08 01:08:32,3.0,44.11743
2025-05-04T04:00:00.000000000,2025-05-08 01:08:32,3.0,39.90446
2025-05-04T05:00:00.000000000,2025-05-08 01:08:32,3.0,29.70164
2025-05-04T06:00:00.000000000,2025-05-08 01:08:32,3.0,21.96538
2025-05-04T07:00:00.000000000,2025-05-08 01:08:32,3.0,17.39602
2025-05-04T08:00:00.000000000,2025-05-08 01:08:32,3.0,11.266
2025-05-04T09:00:00.000000000,2025-05-08 01:08:32,3.0,10.31715
2025-05-04T10:00:00.000000000,2025-05-08 01:08:32,3.0,12.05316
2025-05-04T11:00:00.000000000,2025-05-08 01:08:32,3.0,14.05841
2025-05-04T12:00:00.000000000,2025-05-08 01:08:32,3.0,14.83243
2025-05-04T13:00:00.000000000,2025-05-08 01:08:32,3.0,20.34842
2025-05-04T14:00:00.000000000,2025-05-08 01:08:32,3.0,24.91696
2025-05-04T15:00:00.000000000,2025-05-08 01:08:32,3.0,27.4446
2025-05-04T16:00:00.000000000,2025-05-08 01:08:32,3.0,35.64764
2025-05-04T17:00:00.000000000,2025-05-08 01:08:32,3.0,41.72364
2025-05-04T18:00:00.000000000,2025-05-08 01:08:32,3.0,43.97869
2025-05-04T19:00:00.000000000,2025-05-08 01:08:32,3.0,44.9463
2025-05-04T20:00:00.000000000,2025-05-08 01:08:32,3.0,48.54514
2025-05-04T21:00:00.000000000,2025-05-08 01:08:32,3.0,52.91627
2025-05-04T22:00:00.000000000,2025-05-08 01:08:32,3.0,56.14544
2025-05-04T23:00:00.000000000,2025-05-08 01:08:32,3.0,62.13538
2025-05-05T00:00:00.000000000,2025-05-08 01:08:32,3.0,9624.52966
2025-05-05T01:00:00.000000000,2025-05-08 01:08:32,3.0,4156.5
2025-05-05T02:00:00.000000000,2025-05-08 01:08:32,3.0,48.76966
2025-05-05T03:00:00.000000000,2025-05-08 01:08:32,3.0,44.11743
2025-05-05T04:00:00.000000000,2025-05-08 01:08:32,3.0,39.90446
2025-05-05T05:00:00.000000000,2025-05-08 01:08:32,3.0,29.70164
2025-05-05T06:00:00.000000000,2025-05-08 01:08:32,3.0,21.96538
2025-05-05T07:00:00.000000000,2025-05-08 01:08:32,3.0,17.39602
2025-05-05T08:00:00.000000000,2025-05-08 01:08:32,3.0,11.266
2025-05-05T09:00:00.000000000,2025-05-08 01:08:32,3.0,10.31715
2025-05-05T10:00:00.000000000,2025-05-08 01:08:32,3.0,12.05316
2025-05-05T11:00:00.000000000,2025-05-08 01:08:32,3.0,14.05841
2025-05-05T12:00:00.000000000,2025-05-08 01:08:32,3.0,14.83243
2025-05-05T13:00:00.000000000,2025-05-08 01:08:32,3.0,20.34842
2025-05-05T14:00:00.000000000,2025-05-08 01:08:32,3.0,24.91696
2025-05-05T15:00:00.000000000,2025-05-08 01:08:32,3.0,27.4446
2025-05-05T16:00:00.000000000,2025-05-08 01:08:32,3.0,35.64764
2025-05-05T17:00:00.000000000,2025-05-08 01:08:32,3.0,41.72364
2025-05-05T18:00:00.000000000,2025-05-08 01:08:32,3.0,43.97869
2025-05-05T19:00:00.000000000,2025-05-08 01:08:32,3.0,44.9463
2025-05-05T20:00:00.000000000,2025-05-08 01:08:32,3.0,48.54514
2025-05-05T21:00:00.000000000,2025-05-08 01:08:32,3.0,52.91627
2025-05-05T22:00:00.000000000,2025-05-08 01:08:32,3.0,56.14544
2025-05-05T23:00:00.000000000,2025-05-08 01:08:32,3.0,62.13538
2025-05-06T00:00:00.000000000,2025-05-08 01:08:32,3.0,9624.52966
2025-05-06T01:00:00.000000000,2025-05-08 01:08:32,3.0,4156.5
2025-05-06T02:00:00.000000000,2025-05-08 01:08:32,3.0,485.56999
2025-05-06T03:00:00.000000000,2025-05-08 01:08:32,3.0,44.11743
2025-05-06T04:00:00.000000000,2025-05-08 01:08:32,3.0,39.90446
2025-05-06T05:00:00.000000000,2025-05-08 01:08:32,3.0,29.70164
2025-05-06T06:00:00.000000000,2025-05-08 01:08:32,3.0,21.96538
2025-05-06T07:00:00.000000000,2025-05-08 01:08:32,3.0,17.39602
2025-05-06T08:00:00.000000000,2025-05-08 01:08:32,3.0,11.266
2025-05-06T09:00:00.000000000,2025-05-08 01:08:32,3.0,10.31715
2025-05-06T10:00:00.000000000,2025-05-08 01:08:32,3.0,12.05316
2025-05-06T11:00:00.000000000,2025-05-08 01:08:32,3.0,14.05841
2025-05-06T12:00:00.000000000,2025-05-08 01:08:32,3.0,14.83243
2025-05-06T13:00:00.000000000,2025-05-08 01:08:32,3.0,20.34842
2025-05-06T14:00:00.000000000,2025-05-08 01:08:32,3.0,24.91696
2025-05-06T15:00:00.000000000,2025-05-08 01:08:32,3.0,27.4446
2025-05-06T16:00:00.000000000,2025-05-08 01:08:32,3.0,35.64764
2025-05-06T17:00:00.000000000,2025-05-08 01:08:32,3.0,41.72364
2025-05-06T18:00:00.000000000,2025-05-08 01:08:32,3.0,43.97869
2025-05-06T19:00:00.000000000,2025-05-08 01:08:32,3.0,44.9463
2025-05-06T20:00:00.000000000,2025-05-08 01:08:32,3.0,48.54514
2025-05-06T21:00:00.000000000,2025-05-08 01:08:32,3.0,52.91627
2025-05-06T22:00:00.000000000,2025-05-08 01:08:32,3.0,56.14544
2025-05-06T23:00:00.000000000,2025-05-08 01:08:32,3.0,62.13538
2025-05-07T00:00:00.000000000,2025-05-08 01:08:32,3.0,9624.52966
2025-05-07T01:00:00.000000000,2025-05-08 01:08:32,3.0,4156.5
2025-05-07T02:00:00.000000000,2025-05-08 01:08:32,3.0,485.56999
2025-05-07T03:00:00.000000000,2025-05-08 01:08:32,3.0,0.0
2025-05-07T04:00:00.000000000,2025-05-08 01:08:32,3.0,39.90446
2025-05-07T05:00:00.000000000,2025-05-08 01:08:32,3.0,29.70164
2025-05-07T06:00:00.000000000,2025-05-08 01:08:32,3.0,21.96538
2025-05-07T07:00:00.000000000,2025-05-08 01:08:32,3.0,17.39602
2025-05-07T08:00:00.000000000,2025-05-08 01:08:32,3.0,11.266
2025-05-07T09:00:00.000000000,2025-05-08 01:08:32,3.0,10.31715
2025-05-07T10:00:00.000000000,2025-05-08 01:08:32,3.0,12.05316
2025-05-07T11:00:00.000000000,2025-05-08 01:08:32,3.0,14.05841
2025-05-07T12:00:00.000000000,2025-05-08 01:08:32,3.0,14.83243
2025-05-07T13:00:00.000000000,2025-05-08 01:08:32,3.0,20.34842
2025-05-07T14:00:00.000000000,2025-05-08 01:08:32,3.0,24.91696
2025-05-07T15:00:00.000000000,2025-05-08 01:08:32,3.0,27.4446
2025-05-07T16:00:00.000000000,2025-05-08 01:08:32,3.0,35.64764
