UTC time,creation_time (UTC),version,coal,nat_gas,hydro,solar,wind,other
2025-04-19 00:00:00,2025-04-25 21:35:28,3.0,2029.0,633.0,222.0,1228.0,412.0,143.0
2025-04-19 01:00:00,2025-04-25 21:35:28,3.0,2076.0,993.0,224.0,1027.0,348.0,146.0
2025-04-19 02:00:00,2025-04-25 21:35:28,3.0,2806.0,1269.0,225.0,300.0,192.0,145.0
2025-04-19 03:00:00,2025-04-25 21:35:28,3.0,3851.0,1319.0,222.0,0.0,111.0,144.0
2025-04-19 04:00:00,2025-04-25 21:35:28,3.0,3865.0,1285.0,223.0,0.0,57.0,140.0
2025-04-19 05:00:00,2025-04-25 21:35:28,3.0,3953.0,1152.0,222.0,0.0,50.0,140.0
2025-04-19 06:00:00,2025-04-25 21:35:28,3.0,4003.0,1038.0,222.0,0.0,136.0,139.0
2025-04-19 07:00:00,2025-04-25 21:35:28,3.0,3678.0,982.0,221.0,0.0,298.0,138.0
2025-04-19 08:00:00,2025-04-25 21:35:28,3.0,3466.0,974.0,222.0,0.0,556.0,138.0
2025-04-19 09:00:00,2025-04-25 21:35:28,3.0,3296.0,855.0,219.0,0.0,758.0,137.0
2025-04-19 10:00:00,2025-04-25 21:35:28,3.0,2887.0,850.0,220.0,0.0,883.0,136.0
2025-04-19 11:00:00,2025-04-25 21:35:28,3.0,2535.0,855.0,224.0,0.0,1080.0,134.0
2025-04-19 12:00:00,2025-04-25 21:35:28,3.0,2276.0,854.0,218.0,0.0,1357.0,139.0
2025-04-19 13:00:00,2025-04-25 21:35:28,3.0,2202.0,859.0,227.0,6.0,1415.0,137.0
2025-04-19 14:00:00,2025-04-25 21:35:28,3.0,1893.0,799.0,217.0,556.0,1567.0,136.0
2025-04-19 15:00:00,2025-04-25 21:35:28,3.0,1457.0,743.0,221.0,1906.0,1504.0,138.0
2025-04-19 16:00:00,2025-04-25 21:35:28,3.0,1456.0,525.0,222.0,2285.0,1510.0,142.0
2025-04-19 17:00:00,2025-04-25 21:35:28,3.0,1376.0,264.0,219.0,2389.0,1503.0,144.0
2025-04-19 18:00:00,2025-04-25 21:35:28,3.0,1302.0,258.0,219.0,2469.0,1459.0,143.0
2025-04-19 19:00:00,2025-04-25 21:35:28,3.0,1280.0,272.0,220.0,2524.0,1564.0,142.0
2025-04-19 20:00:00,2025-04-25 21:35:28,3.0,1319.0,288.0,223.0,2557.0,1603.0,144.0
2025-04-19 21:00:00,2025-04-25 21:35:28,3.0,1236.0,270.0,220.0,2559.0,1561.0,142.0
2025-04-19 22:00:00,2025-04-25 21:35:28,3.0,1225.0,321.0,222.0,2539.0,1409.0,140.0
2025-04-19 23:00:00,2025-04-25 21:35:28,3.0,1571.0,389.0,217.0,2455.0,1276.0,141.0
2025-04-20 00:00:00,2025-04-25 21:35:28,3.0,1677.0,656.0,226.0,2350.0,1202.0,141.0
2025-04-20 01:00:00,2025-04-25 21:35:28,3.0,1876.5,824.5,225.0,1688.5,775.0,143.5
2025-04-20 02:00:00,2025-04-25 21:35:28,3.0,2341.25,1046.75,225.0,994.25,483.5,144.25
2025-04-20 03:00:00,2025-04-25 21:35:28,3.0,3096.125,1182.875,223.5,497.125,297.25,144.125
2025-04-20 04:00:00,2025-04-25 21:35:28,3.0,3480.5625,1233.9375,223.25,248.5625,177.125,142.0625
2025-04-20 05:00:00,2025-04-25 21:35:28,3.0,3716.78125,1192.96875,222.625,124.28125,113.5625,141.03125
2025-04-20 06:00:00,2025-04-25 21:35:28,3.0,3859.890625,1115.484375,222.3125,62.140625,124.78125,140.015625
2025-04-20 07:00:00,2025-04-25 21:35:28,3.0,3768.9453125,1048.7421875,221.65625,31.0703125,211.390625,139.0078125
2025-04-20 08:00:00,2025-04-25 21:35:28,3.0,3617.47265625,1011.37109375,221.828125,15.53515625,383.6953125,138.50390625
2025-04-20 09:00:00,2025-04-25 21:35:28,3.0,3456.736328125,933.185546875,220.4140625,7.767578125,570.84765625,137.751953125
2025-04-20 10:00:00,2025-04-25 21:35:28,3.0,3171.8681640625,891.5927734375,220.20703125,3.8837890625,726.923828125,136.8759765625
2025-04-20 11:00:00,2025-04-25 21:35:28,3.0,2853.43408203125,873.29638671875,222.103515625,1.94189453125,903.4619140625,135.43798828125
2025-04-20 12:00:00,2025-04-25 21:35:28,3.0,2564.717041015625,863.648193359375,220.0517578125,0.970947265625,1130.23095703125,137.218994140625
2025-04-20 13:00:00,2025-04-25 21:35:28,3.0,2383.3585205078125,861.3240966796875,223.52587890625,3.4854736328125,1272.615478515625,137.1094970703125
2025-04-20 14:00:00,2025-04-25 21:35:28,3.0,2138.1792602539062,830.1620483398438,220.262939453125,279.74273681640625,1419.8077392578125,136.55474853515625
2025-04-20 15:00:00,2025-04-25 21:35:28,3.0,1797.5896301269531,786.5810241699219,220.6314697265625,1092.8713684082031,1461.9038696289062,137.27737426757812
2025-04-20 16:00:00,2025-04-25 21:35:28,3.0,1626.7948150634766,655.7905120849609,221.31573486328125,1688.9356842041016,1485.9519348144531,139.63868713378906
2025-04-20 17:00:00,2025-04-25 21:35:28,3.0,1501.3974075317385,459.89525604248047,220.15786743164065,2038.9678421020508,1494.4759674072266,141.81934356689453
2025-04-20 18:00:00,2025-04-25 21:35:28,3.0,1401.6987037658691,358.94762802124023,219.5789337158203,2253.9839210510254,1476.7379837036133,142.4096717834473
2025-04-20 19:00:00,2025-04-25 21:35:28,3.0,1340.8493518829346,315.4738140106201,219.78946685791016,2388.9919605255127,1520.3689918518066,142.20483589172363
2025-04-20 20:00:00,2025-04-25 21:35:28,3.0,1329.9246759414673,301.73690700531006,221.39473342895508,2472.9959802627563,1561.684495925903,143.10241794586182
2025-04-20 21:00:00,2025-04-25 21:35:28,3.0,1282.9623379707336,285.86845350265503,220.69736671447757,2515.997990131378,1561.3422479629517,142.5512089729309
2025-04-20 22:00:00,2025-04-25 21:35:28,3.0,1253.9811689853668,303.4342267513275,221.3486833572388,2527.498995065689,1485.1711239814758,141.27560448646545
2025-04-20 23:00:00,2025-04-25 21:35:28,3.0,1412.4905844926834,346.21711337566376,219.17434167861936,2491.2494975328445,1380.585561990738,141.13780224323273
