UTC time,solar,nat_gas,wind,hydro,other
2025-04-19 00:00:00,420.0,0.0,9.0,249.0,53.0
2025-04-19 01:00:00,391.0,0.0,15.0,243.0,54.0
2025-04-19 02:00:00,215.0,0.0,21.0,309.0,53.0
2025-04-19 03:00:00,27.0,0.0,24.0,388.0,52.0
2025-04-19 04:00:00,1.0,0.0,35.0,363.0,49.0
2025-04-19 05:00:00,0.0,0.0,54.0,359.0,50.0
2025-04-19 06:00:00,0.0,0.0,114.0,366.0,50.0
2025-04-19 07:00:00,0.0,0.0,229.0,366.0,49.0
2025-04-19 08:00:00,0.0,0.0,330.0,390.0,46.0
2025-04-19 09:00:00,0.0,0.0,376.0,375.0,43.0
2025-04-19 10:00:00,0.0,0.0,424.0,365.0,46.0
2025-04-19 11:00:00,0.0,0.0,480.0,362.0,47.0
2025-04-19 12:00:00,0.0,0.0,507.0,361.0,54.0
2025-04-19 13:00:00,0.0,0.0,499.0,393.0,55.0
2025-04-19 14:00:00,12.0,0.0,448.0,359.0,50.0
2025-04-19 15:00:00,103.0,0.0,480.0,249.0,50.0
2025-04-19 16:00:00,187.0,0.0,444.0,244.0,52.0
2025-04-19 17:00:00,197.0,0.0,404.0,249.0,51.0
2025-04-19 18:00:00,237.0,0.0,337.0,250.0,54.0
2025-04-19 19:00:00,251.0,0.0,402.0,245.0,56.0
2025-04-19 20:00:00,313.0,0.0,369.0,244.0,52.0
2025-04-19 21:00:00,265.0,0.0,493.0,248.0,53.0
2025-04-19 22:00:00,363.0,0.0,440.0,242.0,53.0
2025-04-19 23:00:00,377.0,0.0,408.0,247.0,54.0
2025-04-20 00:00:00,359.0,0.0,369.0,251.0,55.0
2025-04-20 01:00:00,375.0,0.0,192.0,247.0,54.5
2025-04-20 02:00:00,295.0,0.0,106.5,278.0,53.75
2025-04-20 03:00:00,161.0,0.0,65.25,333.0,52.875
2025-04-20 04:00:00,81.0,0.0,50.125,348.0,50.9375
2025-04-20 05:00:00,40.5,0.0,52.0625,353.5,50.46875
2025-04-20 06:00:00,20.25,0.0,83.03125,359.75,50.234375
2025-04-20 07:00:00,10.125,0.0,156.015625,362.875,49.6171875
2025-04-20 08:00:00,5.0625,0.0,243.0078125,376.4375,47.80859375
2025-04-20 09:00:00,2.53125,0.0,309.50390625,375.71875,45.404296875
2025-04-20 10:00:00,1.265625,0.0,366.751953125,370.359375,45.7021484375
2025-04-20 11:00:00,0.6328125,0.0,423.3759765625,366.1796875,46.35107421875
2025-04-20 12:00:00,0.31640625,0.0,465.18798828125,363.58984375,50.175537109375
2025-04-20 13:00:00,0.158203125,0.0,482.093994140625,378.294921875,52.5877685546875
2025-04-20 14:00:00,6.0791015625,0.0,465.0469970703125,368.6474609375,51.29388427734375
2025-04-20 15:00:00,54.53955078125,0.0,472.52349853515625,308.82373046875,50.646942138671875
2025-04-20 16:00:00,120.769775390625,0.0,458.2617492675781,276.411865234375,51.32347106933594
2025-04-20 17:00:00,158.8848876953125,0.0,431.13087463378906,262.7059326171875,51.16173553466797
2025-04-20 18:00:00,197.94244384765625,0.0,384.06543731689453,256.35296630859375,52.580867767333984
2025-04-20 19:00:00,224.47122192382812,0.0,393.03271865844727,250.67648315429688,54.29043388366699
2025-04-20 20:00:00,268.73561096191406,0.0,381.01635932922363,247.33824157714844,53.145216941833496
2025-04-20 21:00:00,266.86780548095703,0.0,437.0081796646118,247.66912078857422,53.07260847091675
2025-04-20 22:00:00,314.9339027404785,0.0,438.5040898323059,244.8345603942871,53.036304235458374
2025-04-20 23:00:00,345.96695137023926,0.0,423.25204491615295,245.91728019714355,53.51815211772919
