,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,other
0,2025-04-25 00:00:00,2025-05-01 04:36:13,3.0,364.6,14058.0,38742.0,28457.0,976.0,3812.0,964.0,1456.0,1839.0
1,2025-04-25 01:00:00,2025-05-01 04:36:13,3.0,364.1,14157.0,38826.0,28476.0,1098.0,4193.0,34.0,2281.0,1823.0
2,2025-04-25 02:00:00,2025-05-01 04:36:13,3.0,360.08,14096.0,37480.0,28511.0,869.0,3466.0,11.0,3272.0,1853.0
3,2025-04-25 03:00:00,2025-05-01 04:36:13,3.0,352.55,13344.0,34473.0,28536.0,798.0,2220.0,11.0,3903.0,1643.0
4,2025-04-25 04:00:00,2025-05-01 04:36:13,3.0,346.15,12732.0,31405.0,28544.0,615.0,1577.0,11.0,3626.0,1489.0
5,2025-04-25 05:00:00,2025-05-01 04:36:13,3.0,343.65,12685.0,28876.0,28559.0,322.0,1169.0,11.0,3097.0,1436.0
6,2025-04-25 06:00:00,2025-05-01 04:36:13,3.0,342.52,12503.0,27209.0,28582.0,218.0,800.0,11.0,2531.0,1383.0
7,2025-04-25 07:00:00,2025-05-01 04:36:13,3.0,336.31,11647.0,26706.0,28583.0,218.0,762.0,11.0,2361.0,1299.0
8,2025-04-25 08:00:00,2025-05-01 04:36:13,3.0,330.75,10969.0,26525.0,28589.0,223.0,805.0,11.0,2423.0,1289.0
9,2025-04-25 09:00:00,2025-05-01 04:36:13,3.0,331.81,10959.0,26933.0,28591.0,225.0,815.0,11.0,2359.0,1283.0
10,2025-04-25 10:00:00,2025-05-01 04:36:13,3.0,339.13,11507.0,28282.0,28591.0,225.0,857.0,11.0,2173.0,1299.0
11,2025-04-25 11:00:00,2025-05-01 04:36:13,3.0,345.48,11767.0,30773.0,28592.0,224.0,974.0,54.0,2070.0,1290.0
12,2025-04-25 12:00:00,2025-05-01 04:36:13,3.0,347.62,12022.0,32900.0,28593.0,223.0,965.0,1281.0,1810.0,1348.0
13,2025-04-25 13:00:00,2025-05-01 04:36:13,3.0,340.52,12073.0,32841.0,28567.0,228.0,884.0,3940.0,1378.0,1432.0
14,2025-04-25 14:00:00,2025-05-01 04:36:13,3.0,335.03,12067.0,32929.0,28539.0,247.0,864.0,6183.0,1047.0,1608.0
15,2025-04-25 15:00:00,2025-05-01 04:36:13,3.0,334.23,12158.0,32749.0,28525.0,396.0,839.0,7212.0,767.0,1787.0
16,2025-04-25 16:00:00,2025-05-01 04:36:13,3.0,336.55,12423.0,33814.0,28505.0,492.0,958.0,7714.0,597.0,1775.0
17,2025-04-25 17:00:00,2025-05-01 04:36:13,3.0,340.27,12588.0,35006.0,28493.0,473.0,861.0,7454.0,744.0,1792.0
18,2025-04-25 18:00:00,2025-05-01 04:36:13,3.0,340.2,12608.0,35711.0,28488.0,498.0,1213.0,7110.0,1056.0,1742.0
19,2025-04-25 19:00:00,2025-05-01 04:36:13,3.0,347.34,12813.0,36792.0,28503.0,662.0,1045.0,6003.0,1161.0,1690.0
