,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,other
0,2025-05-05 00:00:00,2025-05-08 22:24:46,3.0,255.73,10942.0,35147.0,29776.0,390.0,3910.0,890.0,5038.0,1686.0
1,2025-05-05 01:00:00,2025-05-08 22:24:46,3.0,258.57,11352.0,36099.0,29792.0,365.0,4830.0,72.0,5235.0,1756.0
2,2025-05-05 02:00:00,2025-05-08 22:24:46,3.0,262.76,11594.0,36378.0,29818.0,328.0,4239.0,34.0,4945.0,1742.0
3,2025-05-05 03:00:00,2025-05-08 22:24:46,3.0,263.51,11181.0,34570.0,29832.0,318.0,2605.0,34.0,4369.0,1381.0
4,2025-05-05 04:00:00,2025-05-08 22:24:46,3.0,266.86,10939.0,33487.0,29855.0,207.0,1462.0,34.0,3507.0,1380.0
5,2025-05-05 05:00:00,2025-05-08 22:24:46,3.0,267.76,10789.0,31761.0,29859.0,204.0,1102.0,34.0,2663.0,1387.0
6,2025-05-05 06:00:00,2025-05-08 22:24:46,3.0,267.55,10530.0,31332.0,29861.0,207.0,1043.0,34.0,2113.0,1361.0
7,2025-05-05 07:00:00,2025-05-08 22:24:46,3.0,268.1,10510.0,31204.0,29858.0,208.0,1040.0,34.0,1832.0,1322.0
8,2025-05-05 08:00:00,2025-05-08 22:24:46,3.0,265.95,10373.0,30800.0,29862.0,210.0,951.0,34.0,1991.0,1212.0
9,2025-05-05 09:00:00,2025-05-08 22:24:46,3.0,266.56,10308.0,31232.0,29868.0,213.0,947.0,34.0,1801.0,1156.0
10,2025-05-05 10:00:00,2025-05-08 22:24:46,3.0,269.82,10453.0,32657.0,29878.0,213.0,1120.0,34.0,1494.0,1152.0
11,2025-05-05 11:00:00,2025-05-08 22:24:46,3.0,273.79,11081.0,34964.0,29892.0,213.0,1934.0,54.0,1459.0,1156.0
12,2025-05-05 12:00:00,2025-05-08 22:24:46,3.0,277.15,11649.0,36980.0,29900.0,211.0,2086.0,771.0,1375.0,1255.0
13,2025-05-05 13:00:00,2025-05-08 22:24:46,3.0,277.23,12086.0,38356.0,29911.0,210.0,1748.0,2401.0,1367.0,1347.0
14,2025-05-05 14:00:00,2025-05-08 22:24:46,3.0,273.04,12259.0,38370.0,29891.0,210.0,1539.0,4027.0,1466.0,1204.0
15,2025-05-05 15:00:00,2025-05-08 22:24:46,3.0,270.76,12302.0,39060.0,29890.0,307.0,1629.0,5169.0,1463.0,1294.0
16,2025-05-05 16:00:00,2025-05-08 22:24:46,3.0,265.2,12044.0,38162.0,29874.0,395.0,1529.0,6565.0,1280.0,1273.0
17,2025-05-05 17:00:00,2025-05-08 22:24:46,3.0,265.56,12157.0,38415.0,29883.0,362.0,1421.0,6929.0,1241.0,1320.0
18,2025-05-05 18:00:00,2025-05-08 22:24:46,3.0,266.32,12269.0,38567.0,29887.0,377.0,1421.0,6832.0,1360.0,1334.0
19,2025-05-05 19:00:00,2025-05-08 22:24:46,3.0,267.38,12253.0,37795.0,29878.0,381.0,1429.0,6215.0,1282.0,1326.0
20,2025-05-05 20:00:00,2025-05-08 22:24:46,3.0,266.24,12215.0,37318.0,29862.0,407.0,1341.0,6454.0,1308.0,1339.0
21,2025-05-05 21:00:00,2025-05-08 22:24:46,3.0,273.33,12591.0,38311.0,29850.0,431.0,1905.0,4927.0,1185.0,1531.0
22,2025-05-05 22:00:00,2025-05-08 22:24:46,3.0,275.26,12644.0,38504.0,29848.0,437.0,3028.0,3382.0,1064.0,1466.0
23,2025-05-05 23:00:00,2025-05-08 22:24:46,3.0,274.16,12578.0,38561.0,29850.0,397.0,4229.0,2186.0,1295.0,1458.0
24,2025-05-06 00:00:00,2025-05-08 22:24:46,3.0,277.71,12487.0,39419.0,29855.0,414.0,4272.0,859.0,1617.0,1519.0
25,2025-05-06 01:00:00,2025-05-08 22:24:46,3.0,268.19,11919.5,37759.0,29823.5,389.5,4551.0,465.5,3426.0,1637.5
26,2025-05-06 02:00:00,2025-05-08 22:24:46,3.0,265.49,11756.75,37068.5,29820.75,358.75,4395.0,249.75,4185.5,1689.75
27,2025-05-06 03:00:00,2025-05-08 22:24:46,3.0,264.53,11468.875,35819.25,29826.375,338.375,3500.0,141.875,4277.25,1535.375
28,2025-05-06 04:00:00,2025-05-08 22:24:46,3.0,265.65,11203.9375,34653.125,29840.6875,272.6875,2481.0,87.9375,3892.125,1457.6875
29,2025-05-06 05:00:00,2025-05-08 22:24:46,3.0,266.67,10996.46875,33207.0625,29849.84375,238.34375,1791.5,60.96875,3277.5625,1422.34375
30,2025-05-06 06:00:00,2025-05-08 22:24:46,3.0,267.1,10763.234375,32269.53125,29855.421875,222.671875,1417.25,47.484375,2695.28125,1391.671875
31,2025-05-06 07:00:00,2025-05-08 22:24:46,3.0,267.59,10636.6171875,31736.765625,29856.7109375,215.3359375,1228.625,40.7421875,2263.640625,1356.8359375
32,2025-05-06 08:00:00,2025-05-08 22:24:46,3.0,266.78,10504.80859375,31268.3828125,29859.35546875,212.66796875,1089.8125,37.37109375,2127.3203125,1284.41796875
33,2025-05-06 09:00:00,2025-05-08 22:24:46,3.0,266.67,10406.404296875,31250.19140625,29863.677734375,212.833984375,1018.40625,35.685546875,1964.16015625,1220.208984375
34,2025-05-06 10:00:00,2025-05-08 22:24:46,3.0,268.26,10429.7021484375,31953.595703125,29870.8388671875,212.9169921875,1069.203125,34.8427734375,1729.080078125,1186.1044921875
35,2025-05-06 11:00:00,2025-05-08 22:24:46,3.0,271.1,10755.35107421875,33458.7978515625,29881.41943359375,212.95849609375,1501.6015625,44.42138671875,1594.0400390625,1171.05224609375
