datetime,creation_time (UTC),version,avg_wind_production_forecast
2025-05-04T00:00:00.000000000,2025-05-08 01:08:32,3.0,3816.18994
2025-05-04T01:00:00.000000000,2025-05-08 01:08:32,3.0,3067.16064
2025-05-04T02:00:00.000000000,2025-05-08 01:08:32,3.0,2950.65821
2025-05-04T03:00:00.000000000,2025-05-08 01:08:32,3.0,2969.98583
2025-05-04T04:00:00.000000000,2025-05-08 01:08:32,3.0,2900.55062
2025-05-04T05:00:00.000000000,2025-05-08 01:08:32,3.0,2823.28404
2025-05-04T06:00:00.000000000,2025-05-08 01:08:32,3.0,2503.12566
2025-05-04T07:00:00.000000000,2025-05-08 01:08:32,3.0,2498.44895
2025-05-04T08:00:00.000000000,2025-05-08 01:08:32,3.0,2366.62292
2025-05-04T09:00:00.000000000,2025-05-08 01:08:32,3.0,2339.19142
2025-05-04T10:00:00.000000000,2025-05-08 01:08:32,3.0,2166.4814
2025-05-04T11:00:00.000000000,2025-05-08 01:08:32,3.0,2240.67363
2025-05-04T12:00:00.000000000,2025-05-08 01:08:32,3.0,2102.69782
2025-05-04T13:00:00.000000000,2025-05-08 01:08:32,3.0,2041.84913
2025-05-04T14:00:00.000000000,2025-05-08 01:08:32,3.0,1781.72729
2025-05-04T15:00:00.000000000,2025-05-08 01:08:32,3.0,1894.92864
2025-05-04T16:00:00.000000000,2025-05-08 01:08:32,3.0,1669.92044
2025-05-04T17:00:00.000000000,2025-05-08 01:08:32,3.0,1584.58852
2025-05-04T18:00:00.000000000,2025-05-08 01:08:32,3.0,1599.47379
2025-05-04T19:00:00.000000000,2025-05-08 01:08:32,3.0,1619.7648
2025-05-04T20:00:00.000000000,2025-05-08 01:08:32,3.0,1617.8249
2025-05-04T21:00:00.000000000,2025-05-08 01:08:32,3.0,1741.87576
2025-05-04T22:00:00.000000000,2025-05-08 01:08:32,3.0,1815.83671
2025-05-04T23:00:00.000000000,2025-05-08 01:08:32,3.0,1801.22623
2025-05-05T00:00:00.000000000,2025-05-08 01:08:32,3.0,3816.18994
2025-05-05T01:00:00.000000000,2025-05-08 01:08:32,3.0,3868.59989
2025-05-05T02:00:00.000000000,2025-05-08 01:08:32,3.0,2950.65821
2025-05-05T03:00:00.000000000,2025-05-08 01:08:32,3.0,2969.98583
2025-05-05T04:00:00.000000000,2025-05-08 01:08:32,3.0,2900.55062
2025-05-05T05:00:00.000000000,2025-05-08 01:08:32,3.0,2823.28404
2025-05-05T06:00:00.000000000,2025-05-08 01:08:32,3.0,2503.12566
2025-05-05T07:00:00.000000000,2025-05-08 01:08:32,3.0,2498.44895
2025-05-05T08:00:00.000000000,2025-05-08 01:08:32,3.0,2366.62292
2025-05-05T09:00:00.000000000,2025-05-08 01:08:32,3.0,2339.19142
2025-05-05T10:00:00.000000000,2025-05-08 01:08:32,3.0,2166.4814
2025-05-05T11:00:00.000000000,2025-05-08 01:08:32,3.0,2240.67363
2025-05-05T12:00:00.000000000,2025-05-08 01:08:32,3.0,2102.69782
2025-05-05T13:00:00.000000000,2025-05-08 01:08:32,3.0,2041.84913
2025-05-05T14:00:00.000000000,2025-05-08 01:08:32,3.0,1781.72729
2025-05-05T15:00:00.000000000,2025-05-08 01:08:32,3.0,1894.92864
2025-05-05T16:00:00.000000000,2025-05-08 01:08:32,3.0,1669.92044
2025-05-05T17:00:00.000000000,2025-05-08 01:08:32,3.0,1584.58852
2025-05-05T18:00:00.000000000,2025-05-08 01:08:32,3.0,1599.47379
2025-05-05T19:00:00.000000000,2025-05-08 01:08:32,3.0,1619.7648
2025-05-05T20:00:00.000000000,2025-05-08 01:08:32,3.0,1617.8249
2025-05-05T21:00:00.000000000,2025-05-08 01:08:32,3.0,1741.87576
2025-05-05T22:00:00.000000000,2025-05-08 01:08:32,3.0,1815.83671
2025-05-05T23:00:00.000000000,2025-05-08 01:08:32,3.0,1801.22623
2025-05-06T00:00:00.000000000,2025-05-08 01:08:32,3.0,3816.18994
