UTC time,creation_time (UTC),version,coal,nat_gas,oil,hydro,solar,wind,other
2025-04-28 00:00:00,2025-05-01 15:44:10,3.0,942.0,423.0,0.0,13.0,873.0,3889.0,243.0
2025-04-28 01:00:00,2025-05-01 15:44:10,3.0,959.0,592.0,0.0,11.0,431.0,3916.0,136.0
2025-04-28 02:00:00,2025-05-01 15:44:10,3.0,1075.0,757.0,0.0,12.0,19.0,3875.0,4.0
2025-04-28 03:00:00,2025-05-01 15:44:10,3.0,1110.0,734.0,0.0,12.0,0.0,4020.0,0.0
2025-04-28 04:00:00,2025-05-01 15:44:10,3.0,1168.0,646.0,0.0,13.0,0.0,3926.0,0.0
2025-04-28 05:00:00,2025-05-01 15:44:10,3.0,1167.0,643.0,0.0,12.0,0.0,3668.0,0.0
2025-04-28 06:00:00,2025-05-01 15:44:10,3.0,1176.0,651.0,0.0,11.0,0.0,3368.0,0.0
2025-04-28 07:00:00,2025-05-01 15:44:10,3.0,1164.0,655.0,0.0,12.0,0.0,2660.0,63.0
2025-04-28 08:00:00,2025-05-01 15:44:10,3.0,1210.0,830.0,0.0,108.0,0.0,1895.0,99.0
2025-04-28 09:00:00,2025-05-01 15:44:10,3.0,1281.0,984.0,0.0,281.0,0.0,1251.0,208.0
2025-04-28 10:00:00,2025-05-01 15:44:10,3.0,1194.0,1222.0,0.0,312.0,0.0,1162.0,213.0
2025-04-28 11:00:00,2025-05-01 15:44:10,3.0,1203.0,1257.0,0.0,299.0,0.0,1184.0,157.0
2025-04-28 12:00:00,2025-05-01 15:44:10,3.0,1282.0,1415.0,0.0,193.0,0.0,1335.0,0.0
2025-04-28 13:00:00,2025-05-01 15:44:10,3.0,1297.0,1436.0,0.0,12.0,167.0,1824.0,68.0
2025-04-28 14:00:00,2025-05-01 15:44:10,3.0,1111.0,705.0,0.0,12.0,847.0,2490.0,0.0
2025-04-28 15:00:00,2025-05-01 15:44:10,3.0,961.0,491.0,0.0,12.0,1198.0,3006.0,240.0
2025-04-28 16:00:00,2025-05-01 15:44:10,3.0,939.0,440.0,0.0,11.0,1151.0,2898.0,187.0
2025-04-28 17:00:00,2025-05-01 15:44:10,3.0,941.0,425.0,0.0,13.0,982.0,3033.0,149.0
2025-04-28 18:00:00,2025-05-01 15:44:10,3.0,941.0,426.0,0.0,12.0,962.0,2873.0,159.0
2025-04-28 19:00:00,2025-05-01 15:44:10,3.0,947.0,424.0,0.0,13.0,1115.0,2625.0,271.0
2025-04-28 20:00:00,2025-05-01 15:44:10,3.0,942.0,437.0,0.0,12.0,1376.0,2616.0,262.0
2025-04-28 21:00:00,2025-05-01 15:44:10,3.0,941.0,520.0,0.0,11.0,1300.0,2638.0,92.0
2025-04-28 22:00:00,2025-05-01 15:44:10,3.0,938.0,658.0,0.0,12.0,1116.0,2687.0,0.0
2025-04-28 23:00:00,2025-05-01 15:44:10,3.0,943.0,827.0,0.0,13.0,1017.0,2647.0,0.0
2025-04-29 00:00:00,2025-05-01 15:44:10,3.0,943.0,681.0,0.0,13.0,837.0,3307.0,0.0
2025-04-29 01:00:00,2025-05-01 15:44:10,3.0,951.0,636.5,0.0,12.0,634.0,3611.5,68.0
2025-04-29 02:00:00,2025-05-01 15:44:10,3.0,1013.0,696.75,0.0,12.0,326.5,3743.25,36.0
2025-04-29 03:00:00,2025-05-01 15:44:10,3.0,1061.5,715.375,0.0,12.0,163.25,3881.625,18.0
2025-04-29 04:00:00,2025-05-01 15:44:10,3.0,1114.75,680.6875,0.0,12.5,81.625,3903.8125,9.0
2025-04-29 05:00:00,2025-05-01 15:44:10,3.0,1140.875,661.84375,0.0,12.25,40.8125,3785.90625,4.5
2025-04-29 06:00:00,2025-05-01 15:44:10,3.0,1158.4375,656.421875,0.0,11.625,20.40625,3576.953125,2.25
2025-04-29 07:00:00,2025-05-01 15:44:10,3.0,1161.21875,655.7109375,0.0,11.8125,10.203125,3118.4765625,32.625
2025-04-29 08:00:00,2025-05-01 15:44:10,3.0,1185.609375,742.85546875,0.0,59.90625,5.1015625,2506.73828125,65.8125
2025-04-29 09:00:00,2025-05-01 15:44:10,3.0,1233.3046875,863.427734375,0.0,170.453125,2.55078125,1878.869140625,136.90625
2025-04-29 10:00:00,2025-05-01 15:44:10,3.0,1213.65234375,1042.7138671875,0.0,241.2265625,1.275390625,1520.4345703125,174.953125
2025-04-29 11:00:00,2025-05-01 15:44:10,3.0,1208.326171875,1149.85693359375,0.0,270.11328125,0.6376953125,1352.21728515625,165.9765625
2025-04-29 12:00:00,2025-05-01 15:44:10,3.0,1245.1630859375,1282.428466796875,0.0,231.556640625,0.31884765625,1343.608642578125,82.98828125
2025-04-29 13:00:00,2025-05-01 15:44:10,3.0,1271.08154296875,1359.2142333984375,0.0,121.7783203125,83.659423828125,1583.8043212890625,75.494140625
2025-04-29 14:00:00,2025-05-01 15:44:10,3.0,1191.040771484375,1032.1071166992188,0.0,66.88916015625,465.3297119140625,2036.9021606445312,37.7470703125
2025-04-29 15:00:00,2025-05-01 15:44:10,3.0,1076.0203857421875,761.5535583496094,0.0,39.444580078125,831.6648559570312,2521.4510803222656,138.87353515625
2025-04-29 16:00:00,2025-05-01 15:44:10,3.0,1007.5101928710938,600.7767791748047,0.0,25.2222900390625,991.3324279785156,2709.725540161133,162.936767578125
2025-04-29 17:00:00,2025-05-01 15:44:10,3.0,974.2550964355468,512.8883895874023,0.0,19.11114501953125,986.6662139892578,2871.3627700805664,155.9683837890625
2025-04-29 18:00:00,2025-05-01 15:44:10,3.0,957.6275482177734,469.4441947937012,0.0,15.555572509765623,974.3331069946288,2872.181385040283,157.48419189453125
2025-04-29 19:00:00,2025-05-01 15:44:10,3.0,952.3137741088868,446.7220973968506,0.0,14.277786254882812,1044.6665534973145,2748.5906925201416,214.2420959472656
2025-04-29 20:00:00,2025-05-01 15:44:10,3.0,947.1568870544434,441.8610486984253,0.0,13.138893127441406,1210.3332767486572,2682.295346260071,238.1210479736328
2025-04-29 21:00:00,2025-05-01 15:44:10,3.0,944.0784435272216,480.9305243492127,0.0,12.069446563720703,1255.1666383743286,2660.1476731300354,165.0605239868164
2025-04-29 22:00:00,2025-05-01 15:44:10,3.0,941.0392217636108,569.4652621746063,0.0,12.034723281860352,1185.5833191871643,2673.5738365650177,82.5302619934082
2025-04-29 23:00:00,2025-05-01 15:44:10,3.0,942.0196108818054,698.2326310873032,0.0,12.517361640930176,1101.2916595935822,2660.286918282509,41.2651309967041
