UTC time,solar,coal,other,nat_gas,hydro,oil
2025-04-19 00:00:00,17.0,1593.0,62.0,456.0,143.0,0.0
2025-04-19 01:00:00,0.0,1552.0,63.0,463.0,145.0,0.0
2025-04-19 02:00:00,0.0,1499.0,68.0,466.0,149.0,0.0
2025-04-19 03:00:00,0.0,1509.0,67.0,474.0,77.0,0.0
2025-04-19 04:00:00,0.0,1304.0,64.0,479.0,30.0,0.0
2025-04-19 05:00:00,0.0,1185.0,67.0,476.0,0.0,0.0
2025-04-19 06:00:00,0.0,1131.0,68.0,478.0,0.0,0.0
2025-04-19 07:00:00,0.0,1012.0,69.0,479.0,0.0,0.0
2025-04-19 08:00:00,0.0,989.0,69.0,480.0,0.0,0.0
2025-04-19 09:00:00,0.0,963.0,70.0,482.0,0.0,0.0
2025-04-19 10:00:00,0.0,946.0,66.0,482.0,0.0,0.0
2025-04-19 11:00:00,0.0,995.0,66.0,485.0,0.0,0.0
2025-04-19 12:00:00,41.0,974.0,65.0,489.0,0.0,0.0
2025-04-19 13:00:00,173.0,1027.0,56.0,484.0,0.0,0.0
2025-04-19 14:00:00,242.0,974.0,54.0,505.0,0.0,0.0
2025-04-19 15:00:00,254.0,1063.0,57.0,598.0,0.0,0.0
2025-04-19 16:00:00,267.0,976.0,57.0,564.0,0.0,0.0
2025-04-19 17:00:00,269.0,920.0,58.0,693.0,0.0,0.0
2025-04-19 18:00:00,271.0,969.0,67.0,725.0,31.0,0.0
2025-04-19 19:00:00,260.0,963.0,70.0,754.0,61.0,0.0
2025-04-19 20:00:00,262.0,1049.0,67.0,709.0,143.0,0.0
2025-04-19 21:00:00,242.0,1062.0,68.0,680.0,144.0,0.0
2025-04-19 22:00:00,221.0,1060.0,69.0,673.0,146.0,0.0
2025-04-19 23:00:00,91.0,1066.0,68.0,720.0,145.0,0.0
2025-04-20 00:00:00,16.0,1065.0,68.0,745.0,145.0,0.0
2025-04-20 01:00:00,8.0,1308.5,65.5,604.0,145.0,0.0
2025-04-20 02:00:00,4.0,1403.75,66.75,535.0,147.0,0.0
2025-04-20 03:00:00,2.0,1456.375,66.875,504.5,112.0,0.0
2025-04-20 04:00:00,1.0,1380.1875,65.4375,491.75,71.0,0.0
2025-04-20 05:00:00,0.5,1282.59375,66.21875,483.875,35.5,0.0
2025-04-20 06:00:00,0.25,1206.796875,67.109375,480.9375,17.75,0.0
2025-04-20 07:00:00,0.125,1109.3984375,68.0546875,479.96875,8.875,0.0
2025-04-20 08:00:00,0.0625,1049.19921875,68.52734375,479.984375,4.4375,0.0
2025-04-20 09:00:00,0.03125,1006.099609375,69.263671875,480.9921875,2.21875,0.0
2025-04-20 10:00:00,0.015625,976.0498046875,67.6318359375,481.49609375,1.109375,0.0
2025-04-20 11:00:00,0.0078125,985.52490234375,66.81591796875,483.248046875,0.5546875,0.0
2025-04-20 12:00:00,20.50390625,979.762451171875,65.907958984375,486.1240234375,0.27734375,0.0
2025-04-20 13:00:00,96.751953125,1003.3812255859375,60.9539794921875,485.06201171875,0.138671875,0.0
2025-04-20 14:00:00,169.3759765625,988.6906127929688,57.47698974609375,495.031005859375,0.0693359375,0.0
2025-04-20 15:00:00,211.68798828125,1025.8453063964844,57.238494873046875,546.5155029296875,0.03466796875,0.0
2025-04-20 16:00:00,239.343994140625,1000.9226531982422,57.11924743652344,555.2577514648438,0.017333984375,0.0
2025-04-20 17:00:00,254.1719970703125,960.4613265991211,57.55962371826172,624.1288757324219,0.0086669921875,0.0
2025-04-20 18:00:00,262.58599853515625,964.7306632995605,62.27981185913086,674.5644378662109,15.50433349609375,0.0
2025-04-20 19:00:00,261.2929992675781,963.8653316497803,66.13990592956543,714.2822189331055,38.252166748046875,0.0
2025-04-20 20:00:00,261.64649963378906,1006.4326658248901,66.56995296478271,711.6411094665527,90.62608337402344,0.0
2025-04-20 21:00:00,251.82324981689453,1034.216332912445,67.28497648239136,695.8205547332764,117.31304168701172,0.0
2025-04-20 22:00:00,236.41162490844727,1047.1081664562225,68.14248824119568,684.4102773666382,131.65652084350586,0.0
2025-04-20 23:00:00,163.70581245422363,1056.5540832281113,68.07124412059784,702.2051386833191,138.32826042175293,0.0
