datetime,creation_time (UTC),version,avg_solar_production_forecast
2025-05-06T00:00:00.000000000,2025-05-08 22:24:46,3.0,9301.84987
2025-05-06T01:00:00.000000000,2025-05-08 22:24:46,3.0,6.2246
2025-05-06T02:00:00.000000000,2025-05-08 22:24:46,3.0,0.0
2025-05-06T03:00:00.000000000,2025-05-08 22:24:46,3.0,0.0
2025-05-06T04:00:00.000000000,2025-05-08 22:24:46,3.0,0.0
2025-05-06T05:00:00.000000000,2025-05-08 22:24:46,3.0,0.0
2025-05-06T06:00:00.000000000,2025-05-08 22:24:46,3.0,0.0
2025-05-06T07:00:00.000000000,2025-05-08 22:24:46,3.0,0.83887
2025-05-06T08:00:00.000000000,2025-05-08 22:24:46,3.0,7.02471
2025-05-06T09:00:00.000000000,2025-05-08 22:24:46,3.0,3.66721
2025-05-06T10:00:00.000000000,2025-05-08 22:24:46,3.0,6.17328
2025-05-06T11:00:00.000000000,2025-05-08 22:24:46,3.0,9.58421
2025-05-06T12:00:00.000000000,2025-05-08 22:24:46,3.0,25.14623
2025-05-06T13:00:00.000000000,2025-05-08 22:24:46,3.0,69.9597
2025-05-06T14:00:00.000000000,2025-05-08 22:24:46,3.0,102.8862
2025-05-06T15:00:00.000000000,2025-05-08 22:24:46,3.0,124.14032
2025-05-06T16:00:00.000000000,2025-05-08 22:24:46,3.0,130.47106
2025-05-06T17:00:00.000000000,2025-05-08 22:24:46,3.0,131.4102
2025-05-06T18:00:00.000000000,2025-05-08 22:24:46,3.0,128.40724
2025-05-06T19:00:00.000000000,2025-05-08 22:24:46,3.0,124.79632
2025-05-06T20:00:00.000000000,2025-05-08 22:24:46,3.0,116.32739
2025-05-06T21:00:00.000000000,2025-05-08 22:24:46,3.0,95.18128
2025-05-06T22:00:00.000000000,2025-05-08 22:24:46,3.0,65.59588
2025-05-06T23:00:00.000000000,2025-05-08 22:24:46,3.0,39.39238
2025-05-07T00:00:00.000000000,2025-05-08 22:24:46,3.0,9301.84987
2025-05-07T01:00:00.000000000,2025-05-08 22:24:46,3.0,4379.58994
2025-05-07T02:00:00.000000000,2025-05-08 22:24:46,3.0,0.0
2025-05-07T03:00:00.000000000,2025-05-08 22:24:46,3.0,0.0
2025-05-07T04:00:00.000000000,2025-05-08 22:24:46,3.0,0.0
2025-05-07T05:00:00.000000000,2025-05-08 22:24:46,3.0,0.0
2025-05-07T06:00:00.000000000,2025-05-08 22:24:46,3.0,0.0
2025-05-07T07:00:00.000000000,2025-05-08 22:24:46,3.0,0.83887
2025-05-07T08:00:00.000000000,2025-05-08 22:24:46,3.0,7.02471
2025-05-07T09:00:00.000000000,2025-05-08 22:24:46,3.0,3.66721
2025-05-07T10:00:00.000000000,2025-05-08 22:24:46,3.0,6.17328
2025-05-07T11:00:00.000000000,2025-05-08 22:24:46,3.0,9.58421
2025-05-07T12:00:00.000000000,2025-05-08 22:24:46,3.0,25.14623
2025-05-07T13:00:00.000000000,2025-05-08 22:24:46,3.0,69.9597
2025-05-07T14:00:00.000000000,2025-05-08 22:24:46,3.0,102.8862
2025-05-07T15:00:00.000000000,2025-05-08 22:24:46,3.0,124.14032
2025-05-07T16:00:00.000000000,2025-05-08 22:24:46,3.0,130.47106
2025-05-07T17:00:00.000000000,2025-05-08 22:24:46,3.0,131.4102
2025-05-07T18:00:00.000000000,2025-05-08 22:24:46,3.0,128.40724
2025-05-07T19:00:00.000000000,2025-05-08 22:24:46,3.0,124.79632
2025-05-07T20:00:00.000000000,2025-05-08 22:24:46,3.0,116.32739
2025-05-07T21:00:00.000000000,2025-05-08 22:24:46,3.0,95.18128
2025-05-07T22:00:00.000000000,2025-05-08 22:24:46,3.0,65.59588
2025-05-07T23:00:00.000000000,2025-05-08 22:24:46,3.0,39.39238
2025-05-08T00:00:00.000000000,2025-05-08 22:24:46,3.0,9301.84987
2025-05-08T01:00:00.000000000,2025-05-08 22:24:46,3.0,4379.58994
2025-05-08T02:00:00.000000000,2025-05-08 22:24:46,3.0,672.70998
2025-05-08T03:00:00.000000000,2025-05-08 22:24:46,3.0,0.0
2025-05-08T04:00:00.000000000,2025-05-08 22:24:46,3.0,0.0
2025-05-08T05:00:00.000000000,2025-05-08 22:24:46,3.0,0.0
2025-05-08T06:00:00.000000000,2025-05-08 22:24:46,3.0,0.0
2025-05-08T07:00:00.000000000,2025-05-08 22:24:46,3.0,0.83887
2025-05-08T08:00:00.000000000,2025-05-08 22:24:46,3.0,7.02471
2025-05-08T09:00:00.000000000,2025-05-08 22:24:46,3.0,3.66721
2025-05-08T10:00:00.000000000,2025-05-08 22:24:46,3.0,6.17328
2025-05-08T11:00:00.000000000,2025-05-08 22:24:46,3.0,9.58421
2025-05-08T12:00:00.000000000,2025-05-08 22:24:46,3.0,25.14623
2025-05-08T13:00:00.000000000,2025-05-08 22:24:46,3.0,69.9597
2025-05-08T14:00:00.000000000,2025-05-08 22:24:46,3.0,102.8862
2025-05-08T15:00:00.000000000,2025-05-08 22:24:46,3.0,124.14032
2025-05-08T16:00:00.000000000,2025-05-08 22:24:46,3.0,130.47106
2025-05-08T17:00:00.000000000,2025-05-08 22:24:46,3.0,131.4102
2025-05-08T18:00:00.000000000,2025-05-08 22:24:46,3.0,128.40724
2025-05-08T19:00:00.000000000,2025-05-08 22:24:46,3.0,124.79632
2025-05-08T20:00:00.000000000,2025-05-08 22:24:46,3.0,116.32739
2025-05-08T21:00:00.000000000,2025-05-08 22:24:46,3.0,95.18128
2025-05-08T22:00:00.000000000,2025-05-08 22:24:46,3.0,65.59588
2025-05-08T23:00:00.000000000,2025-05-08 22:24:46,3.0,39.39238
2025-05-09T00:00:00.000000000,2025-05-08 22:24:46,3.0,9301.84987
2025-05-09T01:00:00.000000000,2025-05-08 22:24:46,3.0,4379.58994
2025-05-09T02:00:00.000000000,2025-05-08 22:24:46,3.0,672.70998
2025-05-09T03:00:00.000000000,2025-05-08 22:24:46,3.0,0.0
2025-05-09T04:00:00.000000000,2025-05-08 22:24:46,3.0,0.0
2025-05-09T05:00:00.000000000,2025-05-08 22:24:46,3.0,0.0
2025-05-09T06:00:00.000000000,2025-05-08 22:24:46,3.0,0.0
2025-05-09T07:00:00.000000000,2025-05-08 22:24:46,3.0,0.83887
2025-05-09T08:00:00.000000000,2025-05-08 22:24:46,3.0,7.02471
2025-05-09T09:00:00.000000000,2025-05-08 22:24:46,3.0,3.66721
2025-05-09T10:00:00.000000000,2025-05-08 22:24:46,3.0,6.17328
2025-05-09T11:00:00.000000000,2025-05-08 22:24:46,3.0,9.58421
2025-05-09T12:00:00.000000000,2025-05-08 22:24:46,3.0,25.14623
2025-05-09T13:00:00.000000000,2025-05-08 22:24:46,3.0,69.9597
2025-05-09T14:00:00.000000000,2025-05-08 22:24:46,3.0,102.8862
2025-05-09T15:00:00.000000000,2025-05-08 22:24:46,3.0,124.14032
2025-05-09T16:00:00.000000000,2025-05-08 22:24:46,3.0,130.47106
2025-05-09T17:00:00.000000000,2025-05-08 22:24:46,3.0,131.4102
2025-05-09T18:00:00.000000000,2025-05-08 22:24:46,3.0,128.40724
2025-05-09T19:00:00.000000000,2025-05-08 22:24:46,3.0,124.79632
2025-05-09T20:00:00.000000000,2025-05-08 22:24:46,3.0,116.32739
2025-05-09T21:00:00.000000000,2025-05-08 22:24:46,3.0,95.18128
2025-05-09T22:00:00.000000000,2025-05-08 22:24:46,3.0,65.59588
2025-05-09T23:00:00.000000000,2025-05-08 22:24:46,3.0,39.39238
