,UTC time,creation_time (UTC),version,carbon_intensity,hydro
0,2025-04-28 00:00:00,2025-05-01 15:44:10,3.0,24.0,256.0
1,2025-04-28 01:00:00,2025-05-01 15:44:10,3.0,24.0,651.0
2,2025-04-28 02:00:00,2025-05-01 15:44:10,3.0,24.0,853.0
3,2025-04-28 03:00:00,2025-05-01 15:44:10,3.0,24.0,878.0
4,2025-04-28 04:00:00,2025-05-01 15:44:10,3.0,24.0,817.0
5,2025-04-28 05:00:00,2025-05-01 15:44:10,3.0,24.0,864.0
6,2025-04-28 06:00:00,2025-05-01 15:44:10,3.0,24.0,856.0
7,2025-04-28 07:00:00,2025-05-01 15:44:10,3.0,24.0,782.0
8,2025-04-28 08:00:00,2025-05-01 15:44:10,3.0,24.0,696.0
9,2025-04-28 09:00:00,2025-05-01 15:44:10,3.0,24.0,757.0
10,2025-04-28 10:00:00,2025-05-01 15:44:10,3.0,24.0,700.0
11,2025-04-28 11:00:00,2025-05-01 15:44:10,3.0,24.0,700.0
12,2025-04-28 12:00:00,2025-05-01 15:44:10,3.0,24.0,729.0
13,2025-04-28 13:00:00,2025-05-01 15:44:10,3.0,24.0,781.0
14,2025-04-28 14:00:00,2025-05-01 15:44:10,3.0,24.0,936.0
15,2025-04-28 15:00:00,2025-05-01 15:44:10,3.0,24.0,746.0
16,2025-04-28 16:00:00,2025-05-01 15:44:10,3.0,24.0,404.0
17,2025-04-28 17:00:00,2025-05-01 15:44:10,3.0,24.0,409.0
18,2025-04-28 18:00:00,2025-05-01 15:44:10,3.0,24.0,404.0
19,2025-04-28 19:00:00,2025-05-01 15:44:10,3.0,24.0,463.0
20,2025-04-28 20:00:00,2025-05-01 15:44:10,3.0,24.0,416.0
21,2025-04-28 21:00:00,2025-05-01 15:44:10,3.0,24.0,597.0
22,2025-04-28 22:00:00,2025-05-01 15:44:10,3.0,24.0,565.0
23,2025-04-28 23:00:00,2025-05-01 15:44:10,3.0,24.0,587.0
24,2025-04-29 00:00:00,2025-05-01 15:44:10,3.0,24.0,568.0
25,2025-04-29 01:00:00,2025-05-01 15:44:10,3.0,24.0,609.5
26,2025-04-29 02:00:00,2025-05-01 15:44:10,3.0,24.0,731.25
27,2025-04-29 03:00:00,2025-05-01 15:44:10,3.0,24.0,804.625
28,2025-04-29 04:00:00,2025-05-01 15:44:10,3.0,24.0,810.8125
29,2025-04-29 05:00:00,2025-05-01 15:44:10,3.0,24.0,837.40625
30,2025-04-29 06:00:00,2025-05-01 15:44:10,3.0,24.0,846.703125
31,2025-04-29 07:00:00,2025-05-01 15:44:10,3.0,24.0,814.3515625
32,2025-04-29 08:00:00,2025-05-01 15:44:10,3.0,24.0,755.17578125
33,2025-04-29 09:00:00,2025-05-01 15:44:10,3.0,24.0,756.087890625
34,2025-04-29 10:00:00,2025-05-01 15:44:10,3.0,24.0,728.0439453125
35,2025-04-29 11:00:00,2025-05-01 15:44:10,3.0,24.0,714.02197265625
36,2025-04-29 12:00:00,2025-05-01 15:44:10,3.0,24.0,721.510986328125
37,2025-04-29 13:00:00,2025-05-01 15:44:10,3.0,24.0,751.2554931640625
38,2025-04-29 14:00:00,2025-05-01 15:44:10,3.0,24.0,843.6277465820312
39,2025-04-29 15:00:00,2025-05-01 15:44:10,3.0,24.0,794.8138732910156
40,2025-04-29 16:00:00,2025-05-01 15:44:10,3.0,24.0,599.4069366455078
41,2025-04-29 17:00:00,2025-05-01 15:44:10,3.0,24.0,504.2034683227539
42,2025-04-29 18:00:00,2025-05-01 15:44:10,3.0,24.0,454.10173416137695
43,2025-04-29 19:00:00,2025-05-01 15:44:10,3.0,24.0,458.5508670806885
44,2025-04-29 20:00:00,2025-05-01 15:44:10,3.0,24.0,437.2754335403442
45,2025-04-29 21:00:00,2025-05-01 15:44:10,3.0,24.0,517.1377167701721
46,2025-04-29 22:00:00,2025-05-01 15:44:10,3.0,24.0,541.0688583850861
47,2025-04-29 23:00:00,2025-05-01 15:44:10,3.0,24.0,564.034429192543
