,UTC time,creation_time (UTC),version,carbon_intensity,hydro
0,2025-04-25 00:00:00,2025-05-01 04:36:13,3.0,24.0,1154.0
1,2025-04-25 01:00:00,2025-05-01 04:36:13,3.0,24.0,1156.0
2,2025-04-25 02:00:00,2025-05-01 04:36:13,3.0,24.0,1144.0
3,2025-04-25 03:00:00,2025-05-01 04:36:13,3.0,24.0,1071.0
4,2025-04-25 04:00:00,2025-05-01 04:36:13,3.0,24.0,1069.0
5,2025-04-25 05:00:00,2025-05-01 04:36:13,3.0,24.0,1088.0
6,2025-04-25 06:00:00,2025-05-01 04:36:13,3.0,24.0,1025.0
7,2025-04-25 07:00:00,2025-05-01 04:36:13,3.0,24.0,1034.0
8,2025-04-25 08:00:00,2025-05-01 04:36:13,3.0,24.0,1034.0
9,2025-04-25 09:00:00,2025-05-01 04:36:13,3.0,24.0,1038.0
10,2025-04-25 10:00:00,2025-05-01 04:36:13,3.0,24.0,1032.0
11,2025-04-25 11:00:00,2025-05-01 04:36:13,3.0,24.0,1028.0
12,2025-04-25 12:00:00,2025-05-01 04:36:13,3.0,24.0,1024.0
13,2025-04-25 13:00:00,2025-05-01 04:36:13,3.0,24.0,1029.0
14,2025-04-25 14:00:00,2025-05-01 04:36:13,3.0,24.0,1028.0
15,2025-04-25 15:00:00,2025-05-01 04:36:13,3.0,24.0,1033.0
16,2025-04-25 16:00:00,2025-05-01 04:36:13,3.0,24.0,1154.0
17,2025-04-25 17:00:00,2025-05-01 04:36:13,3.0,24.0,1155.0
18,2025-04-25 18:00:00,2025-05-01 04:36:13,3.0,24.0,1153.0
19,2025-04-25 19:00:00,2025-05-01 04:36:13,3.0,24.0,1152.0
20,2025-04-25 20:00:00,2025-05-01 04:36:13,3.0,24.0,1152.0
21,2025-04-25 21:00:00,2025-05-01 04:36:13,3.0,24.0,1193.0
22,2025-04-25 22:00:00,2025-05-01 04:36:13,3.0,24.0,1231.0
23,2025-04-25 23:00:00,2025-05-01 04:36:13,3.0,24.0,1262.0
24,2025-04-26 00:00:00,2025-05-01 04:36:13,3.0,24.0,1231.0
25,2025-04-26 01:00:00,2025-05-01 04:36:13,3.0,24.0,1193.5
26,2025-04-26 02:00:00,2025-05-01 04:36:13,3.0,24.0,1168.75
27,2025-04-26 03:00:00,2025-05-01 04:36:13,3.0,24.0,1119.875
28,2025-04-26 04:00:00,2025-05-01 04:36:13,3.0,24.0,1094.4375
29,2025-04-26 05:00:00,2025-05-01 04:36:13,3.0,24.0,1091.21875
30,2025-04-26 06:00:00,2025-05-01 04:36:13,3.0,24.0,1058.109375
31,2025-04-26 07:00:00,2025-05-01 04:36:13,3.0,24.0,1046.0546875
32,2025-04-26 08:00:00,2025-05-01 04:36:13,3.0,24.0,1040.02734375
33,2025-04-26 09:00:00,2025-05-01 04:36:13,3.0,24.0,1039.013671875
34,2025-04-26 10:00:00,2025-05-01 04:36:13,3.0,24.0,1035.5068359375
35,2025-04-26 11:00:00,2025-05-01 04:36:13,3.0,24.0,1031.75341796875
36,2025-04-26 12:00:00,2025-05-01 04:36:13,3.0,24.0,1027.876708984375
37,2025-04-26 13:00:00,2025-05-01 04:36:13,3.0,24.0,1028.4383544921875
38,2025-04-26 14:00:00,2025-05-01 04:36:13,3.0,24.0,1028.2191772460938
39,2025-04-26 15:00:00,2025-05-01 04:36:13,3.0,24.0,1030.6095886230469
40,2025-04-26 16:00:00,2025-05-01 04:36:13,3.0,24.0,1092.3047943115234
41,2025-04-26 17:00:00,2025-05-01 04:36:13,3.0,24.0,1123.6523971557615
42,2025-04-26 18:00:00,2025-05-01 04:36:13,3.0,24.0,1138.3261985778809
43,2025-04-26 19:00:00,2025-05-01 04:36:13,3.0,24.0,1145.1630992889404
44,2025-04-26 20:00:00,2025-05-01 04:36:13,3.0,24.0,1148.5815496444702
45,2025-04-26 21:00:00,2025-05-01 04:36:13,3.0,24.0,1170.790774822235
46,2025-04-26 22:00:00,2025-05-01 04:36:13,3.0,24.0,1200.8953874111176
47,2025-04-26 23:00:00,2025-05-01 04:36:13,3.0,24.0,1231.4476937055588
