UTC time,wind,nuclear,coal,hydro,battery,sol-w/int-bat,nat_gas,solar
2025-04-19 00:00,1,2643,35,10,-67,-38,798,791
2025-04-19 01:00,13,2639,24,10,115,72,1347,436
2025-04-19 02:00,6,2640,24,10,79,239,1973,336
2025-04-19 03:00,1,2645,24,10,167,226,2259,39
2025-04-19 04:00,8,2645,24,10,109,38,2347,231
2025-04-19 05:00,11,2654,24,10,124,200,2363,62
2025-04-19 06:00,2,2652,24,10,272,187,2360,132
2025-04-19 07:00,16,2654,25,9,188,34,2364,189
2025-04-19 08:00,8,2655,25,10,14,-3,2364,9
2025-04-19 09:00,4,2655,24,10,0,-41,2361,-1
2025-04-19 10:00,13,2659,24,10,-16,-17,2363,-3
2025-04-19 11:00,4,2657,24,10,-39,-115,2360,-2
2025-04-19 12:00,7,2659,24,10,-8,-149,2364,-4
2025-04-19 13:00,43,2659,24,10,-6,-33,2365,-5
2025-04-19 14:00,29,2660,24,10,9,20,2303,154
2025-04-19 15:00,20,2660,24,10,-116,5,1376,787
2025-04-19 16:00,22,2660,24,10,-12,-55,667,1008
2025-04-19 17:00,8,2656,27,9,-139,-6,442,1046
2025-04-19 18:00,14,2654,62,10,-235,0,392,1037
2025-04-19 19:00,24,2657,32,10,-153,4,451,995
2025-04-19 20:00,28,2652,24,10,-168,-23,435,1043
2025-04-19 21:00,42,2658,24,10,-196,-16,445,1075
2025-04-19 22:00,48,2656,24,10,-84,-21,414,1095
2025-04-19 23:00,63,2653,24,10,4,-7,454,1092
2025-04-20 00:00,65,2656,24,11,195,-9,528,1078
2025-04-20 01:00,,,,,,,,
2025-04-20 02:00,,,,,,,,
2025-04-20 03:00,,,,,,,,
2025-04-20 04:00,,,,,,,,
2025-04-20 05:00,,,,,,,,
2025-04-20 06:00,,,,,,,,
2025-04-20 07:00,,,,,,,,
2025-04-20 08:00,,,,,,,,
2025-04-20 09:00,,,,,,,,
2025-04-20 10:00,,,,,,,,
2025-04-20 11:00,,,,,,,,
2025-04-20 12:00,,,,,,,,
2025-04-20 13:00,,,,,,,,
2025-04-20 14:00,,,,,,,,
2025-04-20 15:00,,,,,,,,
2025-04-20 16:00,,,,,,,,
2025-04-20 17:00,,,,,,,,
2025-04-20 18:00,,,,,,,,
2025-04-20 19:00,,,,,,,,
2025-04-20 20:00,,,,,,,,
2025-04-20 21:00,,,,,,,,
2025-04-20 22:00,,,,,,,,
2025-04-20 23:00,,,,,,,,
