,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,other
0,2025-04-25 00:00:00,2025-05-01 04:36:13,3.0,299.54,7851.0,11414.0,2018.0,1.0,1505.0,305.0,10969.0,47.0
1,2025-04-25 01:00:00,2025-05-01 04:36:13,3.0,295.01,7588.0,11174.0,2016.0,1.0,1457.0,117.0,11260.0,52.0
2,2025-04-25 02:00:00,2025-05-01 04:36:13,3.0,302.86,7767.0,11032.0,2017.0,1.0,1431.0,5.0,10783.0,74.0
3,2025-04-25 03:00:00,2025-05-01 04:36:13,3.0,266.61,7106.0,8210.0,2014.0,1.0,1230.0,0.0,13167.0,66.0
4,2025-04-25 04:00:00,2025-05-01 04:36:13,3.0,240.08,6234.0,7187.0,2011.0,1.0,807.0,0.0,14639.0,48.0
5,2025-04-25 05:00:00,2025-05-01 04:36:13,3.0,221.85,5384.0,6330.0,2011.0,1.0,668.0,0.0,14685.0,48.0
6,2025-04-25 06:00:00,2025-05-01 04:36:13,3.0,208.12,4849.0,5655.0,2013.0,1.0,668.0,0.0,14675.0,56.0
7,2025-04-25 07:00:00,2025-05-01 04:36:13,3.0,208.77,4719.0,5678.0,2012.0,1.0,668.0,0.0,14260.0,54.0
8,2025-04-25 08:00:00,2025-05-01 04:36:13,3.0,207.78,4578.0,5509.0,2015.0,1.0,669.0,0.0,13870.0,48.0
9,2025-04-25 09:00:00,2025-05-01 04:36:13,3.0,222.73,4862.0,5766.0,2016.0,1.0,670.0,0.0,12931.0,48.0
10,2025-04-25 10:00:00,2025-05-01 04:36:13,3.0,232.99,4941.0,6297.0,2016.0,1.0,685.0,0.0,12248.0,47.0
11,2025-04-25 11:00:00,2025-05-01 04:36:13,3.0,249.9,5636.0,6984.0,2016.0,1.0,833.0,0.0,12074.0,47.0
12,2025-04-25 12:00:00,2025-05-01 04:36:13,3.0,261.98,6174.0,7894.0,2016.0,1.0,1329.0,0.0,11703.0,47.0
13,2025-04-25 13:00:00,2025-05-01 04:36:13,3.0,260.31,6075.0,8368.0,2014.0,1.0,1509.0,53.0,11669.0,47.0
14,2025-04-25 14:00:00,2025-05-01 04:36:13,3.0,274.15,6273.0,9268.0,2017.0,1.0,1529.0,102.0,10761.0,47.0
15,2025-04-25 15:00:00,2025-05-01 04:36:13,3.0,273.95,6309.0,9598.0,2016.0,1.0,1532.0,212.0,10853.0,49.0
16,2025-04-25 16:00:00,2025-05-01 04:36:13,3.0,281.66,6477.0,9663.0,2017.0,1.0,1585.0,292.0,10213.0,73.0
17,2025-04-25 17:00:00,2025-05-01 04:36:13,3.0,301.14,7076.0,10444.0,2018.0,1.0,1590.0,430.0,9201.0,75.0
18,2025-04-25 18:00:00,2025-05-01 04:36:13,3.0,309.55,7374.0,10244.0,2016.0,1.0,1603.0,494.0,8679.0,71.0
19,2025-04-25 19:00:00,2025-05-01 04:36:13,3.0,302.1,7513.0,10345.0,2018.0,1.0,1627.0,527.0,9606.0,72.0
20,2025-04-25 20:00:00,2025-05-01 04:36:13,3.0,294.77,7471.0,10444.0,2018.0,1.0,1626.0,607.0,10276.0,74.0
21,2025-04-25 21:00:00,2025-05-01 04:36:13,3.0,298.19,7743.0,10471.0,2016.0,1.0,1573.0,568.0,10455.0,106.0
