UTC time,oil,solar,other,coal,sol-w/int-bat,nat_gas
2025-04-19 00:00,0,53,42,0,21,2639
2025-04-19 01:00,0,0,44,0,8,2576
2025-04-19 02:00,68,0,45,0,0,2310
2025-04-19 03:00,51,0,45,0,0,2103
2025-04-19 04:00,0,0,45,0,0,2045
2025-04-19 05:00,0,0,45,0,0,2103
2025-04-19 06:00,0,0,46,0,0,1937
2025-04-19 07:00,0,0,44,0,0,1805
2025-04-19 08:00,0,0,44,0,0,1699
2025-04-19 09:00,0,0,44,0,0,1651
2025-04-19 10:00,0,0,45,0,0,1643
2025-04-19 11:00,0,0,45,0,0,1667
2025-04-19 12:00,0,109,41,0,14,1651
2025-04-19 13:00,0,550,38,0,69,1333
2025-04-19 14:00,0,810,42,0,103,1147
2025-04-19 15:00,0,805,43,0,120,1131
2025-04-19 16:00,0,826,41,0,127,1114
2025-04-19 17:00,0,890,35,0,109,1165
2025-04-19 18:00,0,942,35,0,119,1321
2025-04-19 19:00,0,976,41,0,136,1394
2025-04-19 20:00,0,944,42,0,128,1583
2025-04-19 21:00,0,913,40,0,114,1796
2025-04-19 22:00,0,827,44,0,99,1928
2025-04-19 23:00,0,498,44,0,59,2245
2025-04-20 00:00,0,70,45,0,23,2534
2025-04-20 01:00,,,,,,
2025-04-20 02:00,,,,,,
2025-04-20 03:00,,,,,,
2025-04-20 04:00,,,,,,
2025-04-20 05:00,,,,,,
2025-04-20 06:00,,,,,,
2025-04-20 07:00,,,,,,
2025-04-20 08:00,,,,,,
2025-04-20 09:00,,,,,,
2025-04-20 10:00,,,,,,
2025-04-20 11:00,,,,,,
2025-04-20 12:00,,,,,,
2025-04-20 13:00,,,,,,
2025-04-20 14:00,,,,,,
2025-04-20 15:00,,,,,,
2025-04-20 16:00,,,,,,
2025-04-20 17:00,,,,,,
2025-04-20 18:00,,,,,,
2025-04-20 19:00,,,,,,
2025-04-20 20:00,,,,,,
2025-04-20 21:00,,,,,,
2025-04-20 22:00,,,,,,
2025-04-20 23:00,,,,,,
