UTC time,wind,solar,battery,coal,nat_gas
2025-04-19 00:00,318,285,0,143,721
2025-04-19 01:00,317,211,0,144,918
2025-04-19 02:00,312,27,15,170,1085
2025-04-19 03:00,250,0,22,207,1127
2025-04-19 04:00,242,0,11,201,1081
2025-04-19 05:00,228,0,8,228,1079
2025-04-19 06:00,226,0,0,285,1086
2025-04-19 07:00,207,0,0,283,1087
2025-04-19 08:00,197,0,0,253,1088
2025-04-19 09:00,177,0,0,244,1094
2025-04-19 10:00,129,0,0,193,1085
2025-04-19 11:00,120,0,0,161,1088
2025-04-19 12:00,252,0,0,160,1089
2025-04-19 13:00,266,0,0,143,1093
2025-04-19 14:00,224,56,0,143,1015
2025-04-19 15:00,176,259,-2,143,528
2025-04-19 16:00,143,339,-22,143,301
2025-04-19 17:00,112,297,-23,143,298
2025-04-19 18:00,91,350,-16,143,301
2025-04-19 19:00,101,359,0,143,306
2025-04-19 20:00,143,318,0,143,308
2025-04-19 21:00,157,273,0,138,304
2025-04-19 22:00,163,275,0,127,298
2025-04-19 23:00,169,286,0,121,304
2025-04-20 00:00,178,323,0,120,321
2025-04-20 01:00,,,,,
2025-04-20 02:00,,,,,
2025-04-20 03:00,,,,,
2025-04-20 04:00,,,,,
2025-04-20 05:00,,,,,
2025-04-20 06:00,,,,,
2025-04-20 07:00,,,,,
2025-04-20 08:00,,,,,
2025-04-20 09:00,,,,,
2025-04-20 10:00,,,,,
2025-04-20 11:00,,,,,
2025-04-20 12:00,,,,,
2025-04-20 13:00,,,,,
2025-04-20 14:00,,,,,
2025-04-20 15:00,,,,,
2025-04-20 16:00,,,,,
2025-04-20 17:00,,,,,
2025-04-20 18:00,,,,,
2025-04-20 19:00,,,,,
2025-04-20 20:00,,,,,
2025-04-20 21:00,,,,,
2025-04-20 22:00,,,,,
2025-04-20 23:00,,,,,
