UTC time,creation_time (UTC),version,nat_gas,hydro
2025-04-19 00:00:00,2025-04-24 22:29:03,3.0,36.0,52.0
2025-04-19 01:00:00,2025-04-24 22:29:03,3.0,38.0,57.0
2025-04-19 02:00:00,2025-04-24 22:29:03,3.0,48.0,61.0
2025-04-19 03:00:00,2025-04-24 22:29:03,3.0,58.0,62.0
2025-04-19 04:00:00,2025-04-24 22:29:03,3.0,76.0,62.0
2025-04-19 05:00:00,2025-04-24 22:29:03,3.0,87.0,57.0
2025-04-19 06:00:00,2025-04-24 22:29:03,3.0,87.0,57.0
2025-04-19 07:00:00,2025-04-24 22:29:03,3.0,87.0,52.0
2025-04-19 08:00:00,2025-04-24 22:29:03,3.0,87.0,45.0
2025-04-19 09:00:00,2025-04-24 22:29:03,3.0,83.0,45.0
2025-04-19 10:00:00,2025-04-24 22:29:03,3.0,72.0,45.0
2025-04-19 11:00:00,2025-04-24 22:29:03,3.0,64.0,45.0
2025-04-19 12:00:00,2025-04-24 22:29:03,3.0,64.0,45.0
2025-04-19 13:00:00,2025-04-24 22:29:03,3.0,38.0,45.0
2025-04-19 14:00:00,2025-04-24 22:29:03,3.0,32.0,45.0
2025-04-19 15:00:00,2025-04-24 22:29:03,3.0,32.0,50.0
2025-04-19 16:00:00,2025-04-24 22:29:03,3.0,33.0,50.0
2025-04-19 17:00:00,2025-04-24 22:29:03,3.0,34.0,52.0
2025-04-19 18:00:00,2025-04-24 22:29:03,3.0,34.0,50.0
2025-04-19 19:00:00,2025-04-24 22:29:03,3.0,34.0,50.0
2025-04-19 20:00:00,2025-04-24 22:29:03,3.0,34.0,51.0
2025-04-19 21:00:00,2025-04-24 22:29:03,3.0,35.0,50.0
2025-04-19 22:00:00,2025-04-24 22:29:03,3.0,35.0,50.0
2025-04-19 23:00:00,2025-04-24 22:29:03,3.0,36.0,50.0
2025-04-20 00:00:00,2025-04-24 22:29:03,3.0,36.0,50.0
2025-04-20 01:00:00,2025-04-24 22:29:03,3.0,37.0,53.5
2025-04-20 02:00:00,2025-04-24 22:29:03,3.0,42.5,57.25
2025-04-20 03:00:00,2025-04-24 22:29:03,3.0,50.25,59.625
2025-04-20 04:00:00,2025-04-24 22:29:03,3.0,63.125,60.8125
2025-04-20 05:00:00,2025-04-24 22:29:03,3.0,75.0625,58.90625
2025-04-20 06:00:00,2025-04-24 22:29:03,3.0,81.03125,57.953125
2025-04-20 07:00:00,2025-04-24 22:29:03,3.0,84.015625,54.9765625
2025-04-20 08:00:00,2025-04-24 22:29:03,3.0,85.5078125,49.98828125
2025-04-20 09:00:00,2025-04-24 22:29:03,3.0,84.25390625,47.494140625
2025-04-20 10:00:00,2025-04-24 22:29:03,3.0,78.126953125,46.2470703125
2025-04-20 11:00:00,2025-04-24 22:29:03,3.0,71.0634765625,45.62353515625
2025-04-20 12:00:00,2025-04-24 22:29:03,3.0,67.53173828125,45.311767578125
2025-04-20 13:00:00,2025-04-24 22:29:03,3.0,52.765869140625,45.1558837890625
2025-04-20 14:00:00,2025-04-24 22:29:03,3.0,42.3829345703125,45.07794189453125
2025-04-20 15:00:00,2025-04-24 22:29:03,3.0,37.19146728515625,47.538970947265625
2025-04-20 16:00:00,2025-04-24 22:29:03,3.0,35.095733642578125,48.76948547363281
2025-04-20 17:00:00,2025-04-24 22:29:03,3.0,34.54786682128906,50.384742736816406
2025-04-20 18:00:00,2025-04-24 22:29:03,3.0,34.27393341064453,50.1923713684082
2025-04-20 19:00:00,2025-04-24 22:29:03,3.0,34.136966705322266,50.0961856842041
2025-04-20 20:00:00,2025-04-24 22:29:03,3.0,34.06848335266113,50.54809284210205
2025-04-20 21:00:00,2025-04-24 22:29:03,3.0,34.534241676330566,50.27404642105103
2025-04-20 22:00:00,2025-04-24 22:29:03,3.0,34.76712083816528,50.13702321052551
2025-04-20 23:00:00,2025-04-24 22:29:03,3.0,35.38356041908264,50.06851160526276
