UTC time,creation_time (UTC),version,coal,nat_gas,hydro,solar,wind
2025-04-28 00:00:00,2025-05-01 22:23:48,3.0,1212.0,275.0,656.0,199.0,1140.0
2025-04-28 01:00:00,2025-05-01 22:23:48,3.0,1243.0,308.0,743.0,66.0,1104.0
2025-04-28 02:00:00,2025-05-01 22:23:48,3.0,1581.0,452.0,899.0,12.0,1192.0
2025-04-28 03:00:00,2025-05-01 22:23:48,3.0,1703.0,388.0,916.0,3.0,1188.0
2025-04-28 04:00:00,2025-05-01 22:23:48,3.0,1715.0,376.0,841.0,3.0,1079.0
2025-04-28 05:00:00,2025-05-01 22:23:48,3.0,1711.0,379.0,677.0,3.0,1067.0
2025-04-28 06:00:00,2025-05-01 22:23:48,3.0,1606.0,348.0,596.0,3.0,1071.0
2025-04-28 07:00:00,2025-05-01 22:23:48,3.0,1492.0,350.0,558.0,3.0,925.0
2025-04-28 08:00:00,2025-05-01 22:23:48,3.0,1566.0,444.0,577.0,3.0,790.0
2025-04-28 09:00:00,2025-05-01 22:23:48,3.0,1664.0,527.0,537.0,3.0,596.0
2025-04-28 10:00:00,2025-05-01 22:23:48,3.0,1678.0,422.0,543.0,3.0,556.0
2025-04-28 11:00:00,2025-05-01 22:23:48,3.0,1594.0,417.0,555.0,3.0,560.0
2025-04-28 12:00:00,2025-05-01 22:23:48,3.0,1708.0,497.0,622.0,3.0,835.0
2025-04-28 13:00:00,2025-05-01 22:23:48,3.0,1787.0,476.0,719.0,51.0,732.0
2025-04-28 14:00:00,2025-05-01 22:23:48,3.0,1599.0,293.0,786.0,294.0,929.0
2025-04-28 15:00:00,2025-05-01 22:23:48,3.0,1456.0,271.0,790.0,426.0,1003.0
2025-04-28 16:00:00,2025-05-01 22:23:48,3.0,1446.0,271.0,738.0,546.0,970.0
2025-04-28 17:00:00,2025-05-01 22:23:48,3.0,1412.0,271.0,677.0,529.0,946.0
2025-04-28 18:00:00,2025-05-01 22:23:48,3.0,1382.0,272.0,604.0,512.0,1014.0
2025-04-28 19:00:00,2025-05-01 22:23:48,3.0,1326.0,272.0,586.0,454.0,912.0
2025-04-28 20:00:00,2025-05-01 22:23:48,3.0,1319.0,272.0,596.0,443.0,828.0
2025-04-28 21:00:00,2025-05-01 22:23:48,3.0,1391.0,272.0,590.0,481.0,807.0
2025-04-28 22:00:00,2025-05-01 22:23:48,3.0,1436.0,279.0,607.0,469.0,882.0
2025-04-28 23:00:00,2025-05-01 22:23:48,3.0,1462.0,338.0,660.0,422.0,851.0
2025-04-29 00:00:00,2025-05-01 22:23:48,3.0,1343.0,272.0,780.0,411.0,914.0
2025-04-29 01:00:00,2025-05-01 22:23:48,3.0,1293.0,290.0,761.5,238.5,1009.0
2025-04-29 02:00:00,2025-05-01 22:23:48,3.0,1437.0,371.0,830.25,125.25,1100.5
2025-04-29 03:00:00,2025-05-01 22:23:48,3.0,1570.0,379.5,873.125,64.125,1144.25
2025-04-29 04:00:00,2025-05-01 22:23:48,3.0,1642.5,377.75,857.0625,33.5625,1111.625
2025-04-29 05:00:00,2025-05-01 22:23:48,3.0,1676.75,378.375,767.03125,18.28125,1089.3125
2025-04-29 06:00:00,2025-05-01 22:23:48,3.0,1641.375,363.1875,681.515625,10.640625,1080.15625
2025-04-29 07:00:00,2025-05-01 22:23:48,3.0,1566.6875,356.59375,619.7578125,6.8203125,1002.578125
2025-04-29 08:00:00,2025-05-01 22:23:48,3.0,1566.34375,400.296875,598.37890625,4.91015625,896.2890625
2025-04-29 09:00:00,2025-05-01 22:23:48,3.0,1615.171875,463.6484375,567.689453125,3.955078125,746.14453125
2025-04-29 10:00:00,2025-05-01 22:23:48,3.0,1646.5859375,442.82421875,555.3447265625,3.4775390625,651.072265625
2025-04-29 11:00:00,2025-05-01 22:23:48,3.0,1620.29296875,429.912109375,555.17236328125,3.23876953125,605.5361328125
2025-04-29 12:00:00,2025-05-01 22:23:48,3.0,1664.146484375,463.4560546875,588.586181640625,3.119384765625,720.26806640625
2025-04-29 13:00:00,2025-05-01 22:23:48,3.0,1725.5732421875,469.72802734375,653.7930908203125,27.0596923828125,726.134033203125
2025-04-29 14:00:00,2025-05-01 22:23:48,3.0,1662.28662109375,381.364013671875,719.8965454101562,160.52984619140625,827.5670166015625
2025-04-29 15:00:00,2025-05-01 22:23:48,3.0,1559.143310546875,326.1820068359375,754.9482727050781,293.2649230957031,915.2835083007812
2025-04-29 16:00:00,2025-05-01 22:23:48,3.0,1502.5716552734375,298.59100341796875,746.4741363525391,419.6324615478516,942.6417541503906
2025-04-29 17:00:00,2025-05-01 22:23:48,3.0,1457.2858276367188,284.7955017089844,711.7370681762695,474.3162307739258,944.3208770751952
2025-04-29 18:00:00,2025-05-01 22:23:48,3.0,1419.6429138183594,278.3977508544922,657.8685340881348,493.1581153869629,979.1604385375977
2025-04-29 19:00:00,2025-05-01 22:23:48,3.0,1372.8214569091797,275.1988754272461,621.9342670440674,473.5790576934815,945.5802192687988
2025-04-29 20:00:00,2025-05-01 22:23:48,3.0,1345.9107284545898,273.59943771362305,608.9671335220337,458.2895288467407,886.7901096343994
2025-04-29 21:00:00,2025-05-01 22:23:48,3.0,1368.455364227295,272.7997188568115,599.4835667610168,469.6447644233704,846.8950548171997
2025-04-29 22:00:00,2025-05-01 22:23:48,3.0,1402.2276821136477,275.89985942840576,603.2417833805084,469.3223822116852,864.4475274085999
2025-04-29 23:00:00,2025-05-01 22:23:48,3.0,1432.1138410568235,306.9499297142029,631.6208916902542,445.6611911058426,857.7237637042999
