,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,hydro,solar,wind
0,2025-04-28 00:00:00,2025-05-01 22:23:48,3.0,293.76,1212.0,275.0,656.0,199.0,1140.0
1,2025-04-28 01:00:00,2025-05-01 22:23:48,3.0,305.61,1243.0,308.0,743.0,66.0,1104.0
2,2025-04-28 02:00:00,2025-05-01 22:23:48,3.0,330.95,1581.0,452.0,899.0,12.0,1192.0
3,2025-04-28 03:00:00,2025-05-01 22:23:48,3.0,342.51,1703.0,388.0,916.0,3.0,1188.0
4,2025-04-28 04:00:00,2025-05-01 22:23:48,3.0,359.37,1715.0,376.0,841.0,3.0,1079.0
5,2025-04-28 05:00:00,2025-05-01 22:23:48,3.0,375.45,1711.0,379.0,677.0,3.0,1067.0
6,2025-04-28 06:00:00,2025-05-01 22:23:48,3.0,372.33,1606.0,348.0,596.0,3.0,1071.0
7,2025-04-28 07:00:00,2025-05-01 22:23:48,3.0,379.63,1492.0,350.0,558.0,3.0,925.0
8,2025-04-28 08:00:00,2025-05-01 22:23:48,3.0,400.72,1566.0,444.0,577.0,3.0,790.0
9,2025-04-28 09:00:00,2025-05-01 22:23:48,3.0,438.72,1664.0,527.0,537.0,3.0,596.0
10,2025-04-28 10:00:00,2025-05-01 22:23:48,3.0,447.04,1678.0,422.0,543.0,3.0,556.0
11,2025-04-28 11:00:00,2025-05-01 22:23:48,3.0,436.47,1594.0,417.0,555.0,3.0,560.0
12,2025-04-28 12:00:00,2025-05-01 22:23:48,3.0,404.36,1708.0,497.0,622.0,3.0,835.0
13,2025-04-28 13:00:00,2025-05-01 22:23:48,3.0,407.5,1787.0,476.0,719.0,51.0,732.0
14,2025-04-28 14:00:00,2025-05-01 22:23:48,3.0,339.31,1599.0,293.0,786.0,294.0,929.0
15,2025-04-28 15:00:00,2025-05-01 22:23:48,3.0,305.84,1456.0,271.0,790.0,426.0,1003.0
16,2025-04-28 16:00:00,2025-05-01 22:23:48,3.0,302.0,1446.0,271.0,738.0,546.0,970.0
17,2025-04-28 17:00:00,2025-05-01 22:23:48,3.0,305.97,1412.0,271.0,677.0,529.0,946.0
18,2025-04-28 18:00:00,2025-05-01 22:23:48,3.0,304.16,1382.0,272.0,604.0,512.0,1014.0
19,2025-04-28 19:00:00,2025-05-01 22:23:48,3.0,312.23,1326.0,272.0,586.0,454.0,912.0
20,2025-04-28 20:00:00,2025-05-01 22:23:48,3.0,318.99,1319.0,272.0,596.0,443.0,828.0
21,2025-04-28 21:00:00,2025-05-01 22:23:48,3.0,326.97,1391.0,272.0,590.0,481.0,807.0
22,2025-04-28 22:00:00,2025-05-01 22:23:48,3.0,325.24,1436.0,279.0,607.0,469.0,882.0
23,2025-04-28 23:00:00,2025-05-01 22:23:48,3.0,331.15,1462.0,338.0,660.0,422.0,851.0
24,2025-04-29 00:00:00,2025-05-01 22:23:48,3.0,301.43,1343.0,272.0,780.0,411.0,914.0
25,2025-04-29 01:00:00,2025-05-01 22:23:48,3.0,303.45,1293.0,290.0,761.5,238.5,1009.0
26,2025-04-29 02:00:00,2025-05-01 22:23:48,3.0,318.17,1437.0,371.0,830.25,125.25,1100.5
27,2025-04-29 03:00:00,2025-05-01 22:23:48,3.0,330.84,1570.0,379.5,873.125,64.125,1144.25
28,2025-04-29 04:00:00,2025-05-01 22:23:48,3.0,345.08,1642.5,377.75,857.0625,33.5625,1111.625
29,2025-04-29 05:00:00,2025-05-01 22:23:48,3.0,359.9,1676.75,378.375,767.03125,18.28125,1089.3125
30,2025-04-29 06:00:00,2025-05-01 22:23:48,3.0,365.86,1641.375,363.1875,681.515625,10.640625,1080.15625
31,2025-04-29 07:00:00,2025-05-01 22:23:48,3.0,372.31,1566.6875,356.59375,619.7578125,6.8203125,1002.578125
32,2025-04-29 08:00:00,2025-05-01 22:23:48,3.0,386.16,1566.34375,400.296875,598.37890625,4.91015625,896.2890625
33,2025-04-29 09:00:00,2025-05-01 22:23:48,3.0,411.91,1615.171875,463.6484375,567.689453125,3.955078125,746.14453125
34,2025-04-29 10:00:00,2025-05-01 22:23:48,3.0,428.95,1646.5859375,442.82421875,555.3447265625,3.4775390625,651.072265625
35,2025-04-29 11:00:00,2025-05-01 22:23:48,3.0,432.61,1620.29296875,429.912109375,555.17236328125,3.23876953125,605.5361328125
36,2025-04-29 12:00:00,2025-05-01 22:23:48,3.0,417.56,1664.146484375,463.4560546875,588.586181640625,3.119384765625,720.26806640625
37,2025-04-29 13:00:00,2025-05-01 22:23:48,3.0,412.3,1725.5732421875,469.72802734375,653.7930908203125,27.0596923828125,726.134033203125
38,2025-04-29 14:00:00,2025-05-01 22:23:48,3.0,374.35,1662.28662109375,381.364013671875,719.8965454101562,160.52984619140625,827.5670166015625
39,2025-04-29 15:00:00,2025-05-01 22:23:48,3.0,339.23,1559.143310546875,326.1820068359375,754.9482727050781,293.2649230957031,915.2835083007812
40,2025-04-29 16:00:00,2025-05-01 22:23:48,3.0,320.32,1502.5716552734375,298.59100341796875,746.4741363525391,419.6324615478516,942.6417541503906
41,2025-04-29 17:00:00,2025-05-01 22:23:48,3.0,313.22,1457.2858276367188,284.7955017089844,711.7370681762695,474.3162307739258,944.3208770751952
42,2025-04-29 18:00:00,2025-05-01 22:23:48,3.0,308.74,1419.6429138183594,278.3977508544922,657.8685340881348,493.1581153869629,979.1604385375977
43,2025-04-29 19:00:00,2025-05-01 22:23:48,3.0,310.42,1372.8214569091797,275.1988754272461,621.9342670440674,473.5790576934815,945.5802192687988
44,2025-04-29 20:00:00,2025-05-01 22:23:48,3.0,314.57,1345.9107284545898,273.59943771362305,608.9671335220337,458.2895288467407,886.7901096343994
45,2025-04-29 21:00:00,2025-05-01 22:23:48,3.0,320.74,1368.455364227295,272.7997188568115,599.4835667610168,469.6447644233704,846.8950548171997
46,2025-04-29 22:00:00,2025-05-01 22:23:48,3.0,323.02,1402.2276821136477,275.89985942840576,603.2417833805084,469.3223822116852,864.4475274085999
47,2025-04-29 23:00:00,2025-05-01 22:23:48,3.0,327.15,1432.1138410568235,306.9499297142029,631.6208916902542,445.6611911058426,857.7237637042999
