,UTC time,creation_time (UTC),version,carbon_intensity,hydro
0,2025-04-19 00:00:00,2025-04-24 19:42:06,3.0,24.0,45.0
1,2025-04-19 01:00:00,2025-04-24 19:42:06,3.0,24.0,43.0
2,2025-04-19 02:00:00,2025-04-24 19:42:06,3.0,24.0,45.0
3,2025-04-19 03:00:00,2025-04-24 19:42:06,3.0,24.0,44.0
4,2025-04-19 04:00:00,2025-04-24 19:42:06,3.0,24.0,43.0
5,2025-04-19 05:00:00,2025-04-24 19:42:06,3.0,24.0,43.0
6,2025-04-19 06:00:00,2025-04-24 19:42:06,3.0,24.0,45.0
7,2025-04-19 07:00:00,2025-04-24 19:42:06,3.0,24.0,45.0
8,2025-04-19 08:00:00,2025-04-24 19:42:06,3.0,24.0,44.0
9,2025-04-19 09:00:00,2025-04-24 19:42:06,3.0,24.0,47.0
10,2025-04-19 10:00:00,2025-04-24 19:42:06,3.0,24.0,46.0
11,2025-04-19 11:00:00,2025-04-24 19:42:06,3.0,24.0,48.0
12,2025-04-19 12:00:00,2025-04-24 19:42:06,3.0,24.0,45.0
13,2025-04-19 13:00:00,2025-04-24 19:42:06,3.0,24.0,46.0
14,2025-04-19 14:00:00,2025-04-24 19:42:06,3.0,24.0,43.0
15,2025-04-19 15:00:00,2025-04-24 19:42:06,3.0,24.0,44.0
16,2025-04-19 16:00:00,2025-04-24 19:42:06,3.0,24.0,44.0
17,2025-04-19 17:00:00,2025-04-24 19:42:06,3.0,24.0,44.0
18,2025-04-19 18:00:00,2025-04-24 19:42:06,3.0,24.0,42.0
19,2025-04-19 19:00:00,2025-04-24 19:42:06,3.0,24.0,42.0
20,2025-04-19 20:00:00,2025-04-24 19:42:06,3.0,24.0,44.0
21,2025-04-19 21:00:00,2025-04-24 19:42:06,3.0,24.0,43.0
22,2025-04-19 22:00:00,2025-04-24 19:42:06,3.0,24.0,44.0
23,2025-04-19 23:00:00,2025-04-24 19:42:06,3.0,24.0,43.0
24,2025-04-20 00:00:00,2025-04-24 19:42:06,3.0,24.0,44.0
25,2025-04-20 01:00:00,2025-04-24 19:42:06,3.0,24.0,43.5
26,2025-04-20 02:00:00,2025-04-24 19:42:06,3.0,24.0,44.25
27,2025-04-20 03:00:00,2025-04-24 19:42:06,3.0,24.0,44.125
28,2025-04-20 04:00:00,2025-04-24 19:42:06,3.0,24.0,43.5625
29,2025-04-20 05:00:00,2025-04-24 19:42:06,3.0,24.0,43.28125
30,2025-04-20 06:00:00,2025-04-24 19:42:06,3.0,24.0,44.140625
31,2025-04-20 07:00:00,2025-04-24 19:42:06,3.0,24.0,44.5703125
32,2025-04-20 08:00:00,2025-04-24 19:42:06,3.0,24.0,44.28515625
33,2025-04-20 09:00:00,2025-04-24 19:42:06,3.0,24.0,45.642578125
34,2025-04-20 10:00:00,2025-04-24 19:42:06,3.0,24.0,45.8212890625
35,2025-04-20 11:00:00,2025-04-24 19:42:06,3.0,24.0,46.91064453125
36,2025-04-20 12:00:00,2025-04-24 19:42:06,3.0,24.0,45.955322265625
37,2025-04-20 13:00:00,2025-04-24 19:42:06,3.0,24.0,45.9776611328125
38,2025-04-20 14:00:00,2025-04-24 19:42:06,3.0,24.0,44.48883056640625
39,2025-04-20 15:00:00,2025-04-24 19:42:06,3.0,24.0,44.244415283203125
40,2025-04-20 16:00:00,2025-04-24 19:42:06,3.0,24.0,44.12220764160156
41,2025-04-20 17:00:00,2025-04-24 19:42:06,3.0,24.0,44.06110382080078
42,2025-04-20 18:00:00,2025-04-24 19:42:06,3.0,24.0,43.03055191040039
43,2025-04-20 19:00:00,2025-04-24 19:42:06,3.0,24.0,42.5152759552002
44,2025-04-20 20:00:00,2025-04-24 19:42:06,3.0,24.0,43.2576379776001
45,2025-04-20 21:00:00,2025-04-24 19:42:06,3.0,24.0,43.12881898880005
46,2025-04-20 22:00:00,2025-04-24 19:42:06,3.0,24.0,43.56440949440002
47,2025-04-20 23:00:00,2025-04-24 19:42:06,3.0,24.0,43.28220474720001
