,UTC time,creation_time (UTC),version,carbon_intensity,wind
0,2025-04-19 00:00:00,2025-04-24 19:42:06,3.0,11.0,32.0
1,2025-04-19 01:00:00,2025-04-24 19:42:06,3.0,11.0,31.0
2,2025-04-19 02:00:00,2025-04-24 19:42:06,3.0,11.0,21.0
3,2025-04-19 03:00:00,2025-04-24 19:42:06,3.0,11.0,19.0
4,2025-04-19 04:00:00,2025-04-24 19:42:06,3.0,11.0,44.0
5,2025-04-19 05:00:00,2025-04-24 19:42:06,3.0,11.0,79.0
6,2025-04-19 06:00:00,2025-04-24 19:42:06,3.0,11.0,80.0
7,2025-04-19 07:00:00,2025-04-24 19:42:06,3.0,11.0,85.0
8,2025-04-19 08:00:00,2025-04-24 19:42:06,3.0,11.0,123.0
9,2025-04-19 09:00:00,2025-04-24 19:42:06,3.0,11.0,132.0
10,2025-04-19 10:00:00,2025-04-24 19:42:06,3.0,11.0,144.0
11,2025-04-19 11:00:00,2025-04-24 19:42:06,3.0,11.0,156.0
12,2025-04-19 12:00:00,2025-04-24 19:42:06,3.0,11.0,152.0
13,2025-04-19 13:00:00,2025-04-24 19:42:06,3.0,11.0,129.0
14,2025-04-19 14:00:00,2025-04-24 19:42:06,3.0,11.0,105.0
15,2025-04-19 15:00:00,2025-04-24 19:42:06,3.0,11.0,128.0
16,2025-04-19 16:00:00,2025-04-24 19:42:06,3.0,11.0,131.0
17,2025-04-19 17:00:00,2025-04-24 19:42:06,3.0,11.0,147.0
18,2025-04-19 18:00:00,2025-04-24 19:42:06,3.0,11.0,130.0
19,2025-04-19 19:00:00,2025-04-24 19:42:06,3.0,11.0,117.0
20,2025-04-19 20:00:00,2025-04-24 19:42:06,3.0,11.0,66.0
21,2025-04-19 21:00:00,2025-04-24 19:42:06,3.0,11.0,65.0
22,2025-04-19 22:00:00,2025-04-24 19:42:06,3.0,11.0,115.0
23,2025-04-19 23:00:00,2025-04-24 19:42:06,3.0,11.0,74.0
24,2025-04-20 00:00:00,2025-04-24 19:42:06,3.0,11.0,106.0
25,2025-04-20 01:00:00,2025-04-24 19:42:06,3.0,11.0,68.5
26,2025-04-20 02:00:00,2025-04-24 19:42:06,3.0,11.0,44.75
27,2025-04-20 03:00:00,2025-04-24 19:42:06,3.0,11.0,31.875
28,2025-04-20 04:00:00,2025-04-24 19:42:06,3.0,11.0,37.9375
29,2025-04-20 05:00:00,2025-04-24 19:42:06,3.0,11.0,58.46875
30,2025-04-20 06:00:00,2025-04-24 19:42:06,3.0,11.0,69.234375
31,2025-04-20 07:00:00,2025-04-24 19:42:06,3.0,11.0,77.1171875
32,2025-04-20 08:00:00,2025-04-24 19:42:06,3.0,11.0,100.05859375
33,2025-04-20 09:00:00,2025-04-24 19:42:06,3.0,11.0,116.029296875
34,2025-04-20 10:00:00,2025-04-24 19:42:06,3.0,11.0,130.0146484375
35,2025-04-20 11:00:00,2025-04-24 19:42:06,3.0,11.0,143.00732421875
36,2025-04-20 12:00:00,2025-04-24 19:42:06,3.0,11.0,147.503662109375
37,2025-04-20 13:00:00,2025-04-24 19:42:06,3.0,11.0,138.2518310546875
38,2025-04-20 14:00:00,2025-04-24 19:42:06,3.0,11.0,121.62591552734376
39,2025-04-20 15:00:00,2025-04-24 19:42:06,3.0,11.0,124.81295776367188
40,2025-04-20 16:00:00,2025-04-24 19:42:06,3.0,11.0,127.90647888183594
41,2025-04-20 17:00:00,2025-04-24 19:42:06,3.0,11.0,137.45323944091797
42,2025-04-20 18:00:00,2025-04-24 19:42:06,3.0,11.0,133.72661972045898
43,2025-04-20 19:00:00,2025-04-24 19:42:06,3.0,11.0,125.36330986022948
44,2025-04-20 20:00:00,2025-04-24 19:42:06,3.0,11.0,95.68165493011476
45,2025-04-20 21:00:00,2025-04-24 19:42:06,3.0,11.0,80.34082746505737
46,2025-04-20 22:00:00,2025-04-24 19:42:06,3.0,11.0,97.67041373252869
47,2025-04-20 23:00:00,2025-04-24 19:42:06,3.0,11.0,85.83520686626434
